x,y,sigxx,sigyy,sigxy
0, 0, -2.86774e+06, -2.81724e+06, -970.506
0.5, 0, -2.86748e+06, -2.7548e+06, -312.591
1, 0, -2.8672e+06, -2.69248e+06, 215.069
1.5, 0, -2.86691e+06, -2.63027e+06, 612.474
2, 0, -2.8666e+06, -2.56818e+06, 879.625
2.5, 0, -2.86626e+06, -2.5063e+06, 963.007
3, 0, -2.86574e+06, -2.44519e+06, 597.718
3.5, 0, -2.86521e+06, -2.38408e+06, 232.429
4, 0, -2.86469e+06, -2.32298e+06, -132.859
4.5, 0, -2.86417e+06, -2.26187e+06, -498.148
5, 0, -2.86332e+06, -2.20095e+06, -330.874
5.5, 0, -2.86166e+06, -2.14086e+06, 938.777
6, 0, -2.85999e+06, -2.08132e+06, 1875.35
6.5, 0, -2.85831e+06, -2.02233e+06, 2478.84
7, 0, -2.85662e+06, -1.96388e+06, 2749.26
7.5, 0, -2.85472e+06, -1.90606e+06, 2381.32
8, 0, -2.85209e+06, -1.84903e+06, 1096.35
8.5, 0, -2.84928e+06, -1.79267e+06, -85.3507
9, 0, -2.84627e+06, -1.73698e+06, -1163.78
9.5, 0, -2.84306e+06, -1.68194e+06, -2138.94
10, 0, -2.83913e+06, -1.62742e+06, -2001.49
10.5, 0, -2.83391e+06, -1.57337e+06, 288.763
11, 0, -2.82884e+06, -1.52027e+06, 1971.73
11.5, 0, -2.82392e+06, -1.46813e+06, 3047.41
12, 0, -2.81914e+06, -1.41694e+06, 3515.81
12.5, 0, -2.81425e+06, -1.36701e+06, 3251.79
13, 0, -2.80735e+06, -1.31979e+06, 1740.3
13.5, 0, -2.8005e+06, -1.27239e+06, 239.693
14, 0, -2.79371e+06, -1.22482e+06, -1250.03
14.5, 0, -2.78698e+06, -1.17707e+06, -2728.88
15, 0, -2.7803e+06, -1.12915e+06, -4196.85
15.5, 0, -2.77035e+06, -1.08368e+06, -1417.46
16, 0, -2.76083e+06, -1.03931e+06, 727.158
16.5, 0, -2.75177e+06, -996032, 2204.23
17, 0, -2.74317e+06, -953839, 3013.76
17.5, 0, -2.73503e+06, -912734, 3155.74
18, 0, -2.72526e+06, -874007, 2111.55
18.5, 0, -2.71429e+06, -836292, 617.049
19, 0, -2.70332e+06, -798576, -877.452
19.5, 0, -2.69234e+06, -760860, -2371.95
20, 0, -2.68137e+06, -723145, -3866.45
20.5, 0, -2.66948e+06, -686827, -4228.13
21, 0, -2.65559e+06, -653792, -2141.16
21.5, 0, -2.64193e+06, -620782, -358.656
22, 0, -2.6285e+06, -587797, 1119.4
22.5, 0, -2.6153e+06, -554837, 2293
23, 0, -2.60232e+06, -521902, 3162.14
23.5, 0, -2.58886e+06, -492742, 2271.41
24, 0, -2.57517e+06, -464598, 909.875
24.5, 0, -2.56143e+06, -436534, -534.803
25, 0, -2.54762e+06, -408551, -2062.62
25.5, 0, -2.53376e+06, -380648, -3673.58
26, 0, -2.51904e+06, -354382, -4219.63
26.5, 0, -2.5031e+06, -330839, -2910.83
27, 0, -2.48743e+06, -307220, -1816.26
27.5, 0, -2.47203e+06, -283525, -935.924
28, 0, -2.4569e+06, -259754, -269.815
28.5, 0, -2.44203e+06, -235906, 182.065
29, 0, -2.42585e+06, -215099, -288.645
29.5, 0, -2.40908e+06, -195526, -1072.82
30, 0, -2.3923e+06, -175954, -1856.55
30.5, 0, -2.37553e+06, -156382, -2639.84
31, 0, -2.35876e+06, -136811, -3422.69
31.5, 0, -2.34187e+06, -117643, -3973.82
32, 0, -2.32443e+06, -101204, -3112.28
32.5, 0, -2.30725e+06, -84974.4, -2395.45
33, 0, -2.29035e+06, -68953.6, -1823.32
33.5, 0, -2.27371e+06, -53141.9, -1395.89
34, 0, -2.25735e+06, -37539.4, -1113.16
34.5, 0, -2.24094e+06, -22404, -1020.13
35, 0, -2.22358e+06, -8451.64, -1184.03
35.5, 0, -2.20607e+06, 4956.2, -1459.09
36, 0, -2.18841e+06, 17819.6, -1845.3
36.5, 0, -2.17059e+06, 30138.4, -2342.66
37, 0, -2.15262e+06, 41912.8, -2951.17
37.5, 0, -2.13494e+06, 52636.5, -3191.08
38, 0, -2.11777e+06, 62572.1, -2863.4
38.5, 0, -2.1006e+06, 72503, -2537.87
39, 0, -2.08344e+06, 82429, -2214.49
