x,y,sigxx
0, 0, -1.00015e+07
1.5, 0, -1.00003e+07
3, 0, -9.99943e+06
4.5, 0, -9.99883e+06
6, 0, -9.99852e+06
7.5, 0, -9.99849e+06
9, 0, -9.99913e+06
10.5, 0, -1.00001e+07
12, 0, -9.99822e+06
13.5, 0, -9.99323e+06
15, 0, -9.98869e+06
16.5, 0, -9.9846e+06
18, 0, -9.98097e+06
19.5, 0, -9.9778e+06
21, 0, -9.97508e+06
22.5, 0, -9.97285e+06
24, 0, -9.96569e+06
25.5, 0, -9.95383e+06
27, 0, -9.94195e+06
28.5, 0, -9.93007e+06
30, 0, -9.91818e+06
31.5, 0, -9.90629e+06
33, 0, -9.89438e+06
34.5, 0, -9.88247e+06
36, 0, -9.87056e+06
37.5, 0, -9.85864e+06
39, 0, -9.84671e+06
40.5, 0, -9.83477e+06
42, 0, -9.82283e+06
43.5, 0, -9.81089e+06
45, 0, -9.79644e+06
46.5, 0, -9.76864e+06
48, 0, -9.74099e+06
49.5, 0, -9.71348e+06
51, 0, -9.68554e+06
52.5, 0, -9.65377e+06
54, 0, -9.6222e+06
55.5, 0, -9.59082e+06
57, 0, -9.55965e+06
58.5, 0, -9.52867e+06
60, 0, -9.49789e+06
61.5, 0, -9.46731e+06
63, 0, -9.43693e+06
64.5, 0, -9.40675e+06
66, 0, -9.37169e+06
67.5, 0, -9.33434e+06
69, 0, -9.29724e+06
70.5, 0, -9.26039e+06
72, 0, -9.22379e+06
73.5, 0, -9.18744e+06
75, 0, -9.14502e+06
76.5, 0, -9.10296e+06
78, 0, -9.06152e+06
79.5, 0, -9.01227e+06
81, 0, -8.96408e+06
82.5, 0, -8.91739e+06
84, 0, -8.8722e+06
85.5, 0, -8.82851e+06
87, 0, -8.78631e+06
88.5, 0, -8.74561e+06
90, 0, -8.70641e+06
91.5, 0, -8.66842e+06
93, 0, -8.61361e+06
94.5, 0, -8.5614e+06
96, 0, -8.51126e+06
97.5, 0, -8.45143e+06
99, 0, -8.39249e+06
100.5, 0, -8.33443e+06
102, 0, -8.27725e+06
103.5, 0, -8.22094e+06
105, 0, -8.16552e+06
106.5, 0, -8.11097e+06
108, 0, -8.05731e+06
109.5, 0, -8.00452e+06
111, 0, -7.95312e+06
112.5, 0, -7.90444e+06
114, 0, -7.85848e+06
115.5, 0, -7.79991e+06
117, 0, -7.74163e+06
118.5, 0, -7.68731e+06
120, 0, -7.63695e+06
121.5, 0, -7.59056e+06
123, 0, -7.54754e+06
124.5, 0, -7.50183e+06
126, 0, -7.45691e+06
127.5, 0, -7.4128e+06
129, 0, -7.35925e+06
130.5, 0, -7.29197e+06
132, 0, -7.22669e+06
133.5, 0, -7.16341e+06
135, 0, -7.10212e+06
136.5, 0, -7.04284e+06
138, 0, -6.98555e+06
139.5, 0, -6.93025e+06
141, 0, -6.87696e+06
142.5, 0, -6.82566e+06
144, 0, -6.77636e+06
145.5, 0, -6.72906e+06
147, 0, -6.68376e+06
148.5, 0, -6.63007e+06
150, 0, -6.57531e+06
151.5, 0, -6.52122e+06
153, 0, -6.47995e+06
154.5, 0, -6.4398e+06
156, 0, -6.3993e+06
157.5, 0, -6.35308e+06
159, 0, -6.29547e+06
160.5, 0, -6.23916e+06
162, 0, -6.18417e+06
163.5, 0, -6.13048e+06
165, 0, -6.07811e+06
166.5, 0, -6.02705e+06
168, 0, -5.9773e+06
169.5, 0, -5.92886e+06
171, 0, -5.88173e+06
172.5, 0, -5.83591e+06
174, 0, -5.79141e+06
175.5, 0, -5.74821e+06
177, 0, -5.70633e+06
178.5, 0, -5.66575e+06
180, 0, -5.62649e+06
181.5, 0, -5.58686e+06
183, 0, -5.53907e+06
184.5, 0, -5.48715e+06
186, 0, -5.43576e+06
187.5, 0, -5.38489e+06
189, 0, -5.33453e+06
190.5, 0, -5.2847e+06
192, 0, -5.23539e+06
193.5, 0, -5.1866e+06
195, 0, -5.13833e+06
196.5, 0, -5.09058e+06
198, 0, -5.04335e+06
199.5, 0, -4.99664e+06
201, 0, -4.95046e+06
202.5, 0, -4.90479e+06
204, 0, -4.86804e+06
205.5, 0, -4.83268e+06
207, 0, -4.7974e+06
208.5, 0, -4.76219e+06
210, 0, -4.72705e+06
211.5, 0, -4.69198e+06
213, 0, -4.65698e+06
214.5, 0, -4.62205e+06
216, 0, -4.5872e+06
217.5, 0, -4.55241e+06
219, 0, -4.5177e+06
220.5, 0, -4.48305e+06
222, 0, -4.44848e+06
223.5, 0, -4.41397e+06
225, 0, -4.37954e+06
226.5, 0, -4.34518e+06
228, 0, -4.31089e+06
229.5, 0, -4.27667e+06
231, 0, -4.24252e+06
232.5, 0, -4.20844e+06
234, 0, -4.17443e+06
235.5, 0, -4.14049e+06
237, 0, -4.10662e+06
238.5, 0, -4.07273e+06
240, 0, -4.03693e+06
241.5, 0, -4.00948e+06
243, 0, -3.97946e+06
