x,y,u1,u2
2.44929e-19,152.4,3.17939e-22,-0.131534
1.25663e-05,152.399,2.41178e-05,-0.131536
2.51326e-05,152.397,9.61047e-05,-0.131541
3.76986e-05,152.393,0.000215896,-0.131549
5.02642e-05,152.388,0.000383385,-0.13156
6.28293e-05,152.381,0.00059842,-0.131575
7.53938e-05,152.373,0.00086081,-0.131593
8.79575e-05,152.363,0.00117032,-0.131615
0.00010052,152.352,0.00152667,-0.13164
0.000113082,152.339,0.00192953,-0.131668
0.000125643,152.325,0.00237855,-0.1317
0.000138203,152.309,0.00287332,-0.131735
0.000150761,152.292,0.00341339,-0.131773
0.000163317,152.273,0.00399826,-0.131815
0.000175872,152.253,0.00462741,-0.13186
0.000188426,152.231,0.00530025,-0.131909
0.000200977,152.208,0.00601616,-0.131961
0.000213527,152.183,0.00677448,-0.132016
0.000226074,152.156,0.00757451,-0.132075
0.000238619,152.129,0.0084155,-0.132137
0.000251162,152.099,0.00929666,-0.132203
0.000263702,152.068,0.0102171,-0.132273
0.00027624,152.036,0.0111761,-0.132345
0.000288775,152.002,0.0121726,-0.132422
0.000301307,151.967,0.0132057,-0.132502
0.000313836,151.93,0.0142743,-0.132585
0.000326362,151.892,0.0153775,-0.132672
0.000338885,151.852,0.0165142,-0.132763
0.000351405,151.811,0.0176832,-0.132857
0.000363921,151.768,0.0188833,-0.132955
0.000376433,151.724,0.0201134,-0.133056
0.000388942,151.678,0.0213721,-0.133162
0.000401447,151.631,0.0226582,-0.13327
0.000413948,151.582,0.0239704,-0.133383
0.000426445,151.531,0.0253073,-0.1335
0.000438937,151.48,0.0266674,-0.13362
0.000451426,151.426,0.0280493,-0.133744
0.000463909,151.372,0.0294515,-0.133872
0.000476389,151.315,0.0308724,-0.134003
0.000488863,151.258,0.0323105,-0.134139
0.000501333,151.198,0.0337641,-0.134278
0.000513798,151.138,0.0352315,-0.134422
0.000526257,151.075,0.0367111,-0.134569
0.000538712,151.012,0.0382011,-0.134721
0.000551161,150.946,0.0396997,-0.134876
0.000563605,150.88,0.041205,-0.135036
0.000576043,150.811,0.0427152,-0.1352
0.000588476,150.742,0.0442284,-0.135368
0.000600902,150.671,0.0457426,-0.13554
0.000613323,150.598,0.0472558,-0.135716
0.000625738,150.524,0.0487659,-0.135897
0.000638146,150.448,0.050271,-0.136082
0.000650549,150.371,0.0517689,-0.136271
0.000662944,150.292,0.0532574,-0.136464
0.000675334,150.212,0.0547343,-0.136662
0.000687716,150.131,0.0561975,-0.136865
0.000700092,150.048,0.0576445,-0.137072
0.000712461,149.963,0.0590731,-0.137283
0.000724823,149.877,0.0604133,-0.137426
0.000737178,149.79,0.06176,-0.137563
0.000749525,149.701,0.063115,-0.137696
