x,y,sigxx,sigyy,sigxy
64.5, 0, -791299, 155263, -539.071
65, 0, -784231, 155210, -319.212
65.5, 0, -777261, 155144, -155.98
66, 0, -770389, 155064, -49.3768
66.5, 0, -763615, 154971, 0.598915
67, 0, -756939, 154864, -6.05326
67.5, 0, -750320, 154721, -94.0979
68, 0, -743468, 154441, -316.385
68.5, 0, -736534, 154157, -488.843
69, 0, -729517, 153869, -611.473
69.5, 0, -722418, 153577, -684.274
70, 0, -715459, 153310, -608.062
70.5, 0, -709160, 153078, -292.296
71, 0, -703075, 152786, -12.7701
71.5, 0, -697204, 152434, 230.517
72, 0, -691547, 152022, 437.566
72.5, 0, -686104, 151550, 608.376
73, 0, -680876, 151018, 742.947
73.5, 0, -675861, 150426, 841.279
74, 0, -671060, 149774, 903.372
74.5, 0, -666473, 149062, 929.227
75, 0, -660445, 148395, 618.714
75.5, 0, -654463, 147741, 270.937
76, 0, -648528, 147100, -113.951
76.5, 0, -642640, 146471, -535.951
77, 0, -637137, 145901, -967.733
77.5, 0, -631873, 145291, -1364.14
78, 0, -626556, 144706, -1559.67
78.5, 0, -620219, 144407, -1032.68
79, 0, -614068, 144054, -601.435
79.5, 0, -608103, 143647, -265.945
80, 0, -602325, 143186, -26.207
80.5, 0, -596734, 142672, 117.778
81, 0, -591329, 142104, 166.011
81.5, 0, -586110, 141482, 118.491
82, 0, -581078, 140807, -24.7814
82.5, 0, -576233, 140077, -263.806
83, 0, -571574, 139294, -598.584
83.5, 0, -566998, 138554, -953.35
84, 0, -562475, 137903, -1220.64
84.5, 0, -558159, 137207, -1476.63
85, 0, -554049, 136468, -1721.33
85.5, 0, -549810, 135779, -1681.4
86, 0, -545430, 135134, -1495.69
86.5, 0, -541050, 134489, -1309.57
87, 0, -536671, 133843, -1123.02
87.5, 0, -532291, 133198, -936.065
88, 0, -527912, 132553, -748.689
88.5, 0, -523532, 131907, -560.896
89, 0, -519153, 131262, -372.686
89.5, 0, -514774, 130617, -184.059
90, 0, -510396, 129971, 4.98447
90.5, 0, -506017, 129326, 194.445
91, 0, -502039, 128625, 158.571
91.5, 0, -498448, 127868, -53.4068
92, 0, -494956, 127094, -267.144
92.5, 0, -491562, 126304, -482.641
93, 0, -487788, 125604, -605.449
93.5, 0, -483879, 124939, -665.323
94, 0, -480050, 124263, -701.257
94.5, 0, -476302, 123575, -713.25
95, 0, -472634, 122876, -701.301
95.5, 0, -469046, 122165, -665.411
96, 0, -465539, 121442, -605.581
96.5, 0, -462112, 120708, -521.809
97, 0, -458765, 119962, -414.096
97.5, 0, -455499, 119205, -282.442
98, 0, -452313, 118436, -126.847
98.5, 0, -449208, 117684, -49.1878
99, 0, -446134, 117010, -268.585
99.5, 0, -443060, 116336, -501.651
100, 0, -439984, 115662, -748.386
100.5, 0, -436746, 115035, -950.491
101, 0, -433081, 114529, -971.295
101.5, 0, -429489, 114001, -965.994
102, 0, -425969, 113452, -934.587
102.5, 0, -422523, 112881, -877.073
103, 0, -419149, 112288, -793.454
103.5, 0, -415849, 111673, -683.729
104, 0, -412622, 111036, -547.898
104.5, 0, -409468, 110378, -385.961
105, 0, -406386, 109697, -197.919
105.5, 0, -403378, 108995, 16.2298
106, 0, -400443, 108272, 256.484
106.5, 0, -397683, 107571, 339.614
107, 0, -395058, 106917, 224.656
107.5, 0, -392432, 106262, 108.993
108, 0, -389807, 105608, -7.37505
108.5, 0, -387179, 104978, -80.3267
109, 0, -384549, 104394, -69.9065
109.5, 0, -381918, 103811, -59.4866
110, 0, -379287, 103227, -49.067
110.5, 0, -376656, 102644, -38.6478
111, 0, -374025, 102060, -28.2289
111.5, 0, -371394, 101477, -17.8104
112, 0, -368763, 100894, -7.39222
112.5, 0, -366132, 100310, 3.02561
113, 0, -363501, 99726.5, 13.4431
113.5, 0, -360870, 99143, 23.8602
114, 0, -358240, 98559.5, 34.277
114.5, 0, -355651, 97981.9, 14.0139
115, 0, -353230, 97435, -153.089
115.5, 0, -350806, 96901.3, -362.356
116, 0, -348362, 96376.5, -409.468
116.5, 0, -345963, 95843.2, -352.027
117, 0, -343628, 95299.4, -294.423
117.5, 0, -341359, 94745.1, -236.655
118, 0, -339154, 94180.4, -178.724
118.5, 0, -337013, 93605.2, -120.63
119, 0, -334937, 93019.5, -62.3724
119.5, 0, -332926, 92423.4, -3.95187
120, 0, -330980, 91816.7, 54.6319
120.5, 0, -329098, 91199.6, 113.379
121, 0, -327282, 90572.1, 172.289
121.5, 0, -325529, 89934, 231.362
122, 0, -323842, 89285.5, 290.599
122.5, 0, -322098, 88654.4, 258.439
123, 0, -320064, 88076.7, -23.7273
123.5, 0, -318033, 87477.3, -309.235
124, 0, -315580, 87100.2, -259.587
124.5, 0, -313186, 86709.9, -214.923
125, 0, -310850, 86306.5, -175.244
125.5, 0, -308573, 85890, -140.549
126, 0, -306354, 85460.5, -110.839
126.5, 0, -304194, 85017.8, -86.1127
127, 0, -302092, 84562.1, -66.3712
127.5, 0, -300048, 84093.2, -51.614
128, 0, -298063, 83611.3, -41.8413
128.5, 0, -296137, 83116.3, -37.053
129, 0, -294268, 82608.1, -37.2492
129.5, 0, -292459, 82086.9, -42.4297
130, 0, -290708, 81552.6, -52.5948
130.5, 0, -289015, 81005.2, -67.7442
131, 0, -287320, 80514.3, -187.325
131.5, 0, -285597, 80065.8, -355.043
132, 0, -283871, 79619.9, -505.814
132.5, 0, -282230, 79182.7, -493.14
133, 0, -280619, 78748, -428.791
133.5, 0, -279008, 78313.2, -364.339
134, 0, -277398, 77878.4, -299.783
134.5, 0, -275787, 77443.7, -235.125
135, 0, -274176, 77009, -170.364
135.5, 0, -272565, 76574.2, -105.5
136, 0, -270954, 76139.5, -40.5328
136.5, 0, -269343, 75704.8, 24.5371
137, 0, -267732, 75270.1, 89.71
137.5, 0, -266122, 74835.5, 154.986
138, 0, -264511, 74400.8, 220.364
138.5, 0, -262900, 73966.2, 285.846
139, 0, -261289, 73531.5, 351.431
139.5, 0, -259679, 73096.9, 417.118
140, 0, -257992, 72730.9, 304.617
140.5, 0, -256333, 72363.5, 183.158
141, 0, -254713, 71987.2, 71.49
141.5, 0, -253334, 71611.8, 30.7969
142, 0, -251969, 71234.6, -3.54093
142.5, 0, -250604, 70855.2, -35.0002
143, 0, -249241, 70473.8, -63.5807
143.5, 0, -247878, 70090.2, -89.2827
144, 0, -246516, 69704.4, -112.106
144.5, 0, -245155, 69316.6, -132.051
145, 0, -243795, 68926.6, -149.117
145.5, 0, -242436, 68534.5, -163.304
146, 0, -241078, 68140.2, -174.613
146.5, 0, -239721, 67743.8, -183.043
147, 0, -238364, 67345.3, -188.594
147.5, 0, -237009, 66944.7, -191.267
148, 0, -235654, 66542, -191.062
