x,y,sigxx,sigyy,sigxy
0, 0, -1.14708e+06, -1.12688e+06, -388.196
0.5, 0, -1.14697e+06, -1.1019e+06, -125.034
1, 0, -1.14686e+06, -1.07697e+06, 86.0261
1.5, 0, -1.14674e+06, -1.05209e+06, 244.985
2, 0, -1.14662e+06, -1.02725e+06, 351.844
2.5, 0, -1.14648e+06, -1.0025e+06, 385.196
3, 0, -1.14627e+06, -978060, 239.083
3.5, 0, -1.14607e+06, -953617, 92.9701
4, 0, -1.14586e+06, -929174, -53.1429
4.5, 0, -1.14565e+06, -904732, -199.256
5, 0, -1.14531e+06, -880365, -132.347
5.5, 0, -1.14464e+06, -856329, 375.504
6, 0, -1.14397e+06, -832513, 750.127
6.5, 0, -1.1433e+06, -808916, 991.52
7, 0, -1.14263e+06, -785540, 1099.69
7.5, 0, -1.14187e+06, -762409, 952.512
8, 0, -1.14082e+06, -739600, 438.532
8.5, 0, -1.13969e+06, -717056, -34.1397
9, 0, -1.13849e+06, -694778, -465.504
9.5, 0, -1.1372e+06, -672766, -855.562
10, 0, -1.13563e+06, -650958, -800.582
10.5, 0, -1.13354e+06, -629336, 115.503
11, 0, -1.13152e+06, -608097, 788.678
11.5, 0, -1.12955e+06, -587241, 1218.94
12, 0, -1.12764e+06, -566767, 1406.3
12.5, 0, -1.12568e+06, -546796, 1300.69
13, 0, -1.12292e+06, -527906, 696.108
13.5, 0, -1.12018e+06, -508947, 95.8756
14, 0, -1.11746e+06, -489918, -500.005
14.5, 0, -1.11477e+06, -470821, -1091.53
15, 0, -1.1121e+06, -451654, -1678.71
15.5, 0, -1.10812e+06, -433465, -566.975
16, 0, -1.10431e+06, -415718, 290.858
16.5, 0, -1.10069e+06, -398406, 881.677
17, 0, -1.09725e+06, -381529, 1205.48
17.5, 0, -1.09399e+06, -365087, 1262.27
18, 0, -1.09009e+06, -349597, 844.605
18.5, 0, -1.0857e+06, -334511, 246.815
19, 0, -1.08131e+06, -319425, -350.975
19.5, 0, -1.07692e+06, -304339, -948.765
20, 0, -1.07253e+06, -289253, -1546.55
20.5, 0, -1.06777e+06, -274726, -1691.22
21, 0, -1.06222e+06, -261512, -856.451
21.5, 0, -1.05676e+06, -248309, -143.46
22, 0, -1.05138e+06, -235115, 447.751
22.5, 0, -1.0461e+06, -221931, 917.182
23, 0, -1.04091e+06, -208757, 1264.83
23.5, 0, -1.03552e+06, -197093, 908.55
24, 0, -1.03005e+06, -185836, 363.944
24.5, 0, -1.02455e+06, -174611, -213.918
25, 0, -1.01903e+06, -163418, -825.034
25.5, 0, -1.01348e+06, -152257, -1469.41
26, 0, -1.0076e+06, -141750, -1687.82
26.5, 0, -1.00122e+06, -132333, -1164.31
27, 0, -994956, -122886, -726.492
27.5, 0, -988795, -113408, -374.363
28, 0, -982741, -103900, -107.924
28.5, 0, -976795, -94360.9, 72.8247
29, 0, -970323, -86038, -115.456
29.5, 0, -963614, -78209.1, -429.12
30, 0, -956904, -70380.3, -742.607
30.5, 0, -950195, -62551.7, -1055.92
31, 0, -943486, -54723.3, -1369.05
31.5, 0, -936732, -47056.5, -1589.5
32, 0, -929755, -40481, -1244.89
32.5, 0, -922885, -33989.2, -958.164
33, 0, -916123, -27581, -729.315
33.5, 0, -909470, -21256.4, -558.346
34, 0, -902924, -15015.5, -445.255
34.5, 0, -896359, -8961.43, -408.045
35, 0, -889416, -3380.6, -473.604
35.5, 0, -882413, 1982.45, -583.625
36, 0, -875347, 7127.7, -738.106
36.5, 0, -868221, 12055.2, -937.047
37, 0, -861032, 16764.8, -1180.45
37.5, 0, -853960, 21054.2, -1276.41
38, 0, -847093, 25028.4, -1145.34
38.5, 0, -840226, 29000.7, -1015.13
39, 0, -833360, 32971, -885.782
39.5, 0, -826494, 36939.4, -757.296
40, 0, -819628, 40906, -629.67
40.5, 0, -812746, 44710.1, -556.654
41, 0, -805811, 48166.9, -532.922
41.5, 0, -798836, 51479.7, -461.162
42, 0, -791821, 54648.4, -341.373
42.5, 0, -784766, 57673.1, -173.557
43, 0, -777670, 60553.8, 42.2876
43.5, 0, -770835, 63142.7, 187.18
44, 0, -764396, 65488.5, 183.75
44.5, 0, -757958, 67834.3, 180.318
45, 0, -751520, 70180.1, 176.885
45.5, 0, -745081, 72526, 173.45
46, 0, -738643, 74871.8, 170.013
46.5, 0, -732121, 77152.2, 142.423
47, 0, -725280, 79130.7, 2.99743
47.5, 0, -718473, 81042.2, -161.584
48, 0, -711698, 82886.7, -351.321
48.5, 0, -704956, 84664.4, -566.213
49, 0, -698247, 86375.1, -806.262
49.5, 0, -691827, 87889.5, -986.337
50, 0, -686544, 88891.4, -846.045
50.5, 0, -681438, 89938.3, -717.661
51, 0, -676510, 91030.2, -601.188
51.5, 0, -669522, 91974.7, -425.471
52, 0, -662814, 92941.3, -311.569
52.5, 0, -656396, 93930.8, -259.888
53, 0, -650268, 94943.1, -270.428
53.5, 0, -644428, 95978.3, -343.19
54, 0, -638879, 97036.3, -478.172
54.5, 0, -633144, 97781.9, -484.19
55, 0, -627305, 98363.2, -431.001
55.5, 0, -621539, 98923.5, -397.599
56, 0, -615848, 99462.7, -383.983
56.5, 0, -610231, 99980.9, -390.153
57, 0, -604689, 100478, -416.111
57.5, 0, -599049, 100990, -455.788
58, 0, -592846, 101592, -460.944
58.5, 0, -586994, 102074, -441.576
59, 0, -581490, 102437, -397.684
59.5, 0, -576337, 102681, -329.269
60, 0, -571533, 102806, -236.33
60.5, 0, -567078, 102812, -118.867
61, 0, -562324, 102863, -123.065
