x,y,u1,u2,sxx,syy,sxy
0,-600,2.22438e-24,5.24694e-24,381636,702361,4791.67
0,-598.8,1.79919e-19,9.57935e-05,382014,702601,4607.71
0,-597.6,3.83176e-24,0.00019161,382392,702842,4423.75
0,-596.4,4.55281e-24,0.00028745,382770,703083,4239.79
0,-595.2,9.03788e-20,0.000383312,383148,703324,4055.83
0,-594,9.0518e-20,0.000479198,383527,703564,3871.87
0,-592.8,9.06572e-20,0.000575107,383905,703805,3687.91
0,-591.6,9.07963e-20,0.000671039,384283,704046,3503.95
0,-590.4,7.33171e-24,0.000766994,384661,704287,3319.99
0,-589.2,7.72221e-24,0.000862972,385039,704527,3136.03
0,-588,9.12132e-20,0.000958973,385417,704768,2952.07
0,-586.8,8.33795e-24,0.001055,385795,705009,2768.11
0,-585.6,8.56318e-24,0.00115104,386173,705250,2584.14
0,-584.4,8.73332e-24,0.00124712,386552,705490,2400.18
0,-583.2,9.17684e-20,0.00134321,386930,705731,2216.22
0,-582,8.90833e-24,0.00143933,387308,705972,2032.26
0,-580.8,8.9132e-24,0.00153546,387686,706213,1848.3
0,-579.6,4.60965e-20,0.00163163,388064,706453,1664.34
0,-578.4,4.61657e-20,0.00172781,388442,706694,1480.38
0,-577.2,9.24611e-20,0.00182402,388820,706935,1296.42
0,-576,4.63039e-20,0.00192025,389198,707176,1112.46
0,-574.8,4.6373e-20,0.00201651,389576,707416,928.496
0,-573.6,9.28761e-20,0.00211279,389955,707657,744.535
0,-572.4,6.97626e-20,0.00220909,390333,707898,560.574
0,-571.2,9.31525e-20,0.00230541,390711,708139,376.613
0,-570,9.32906e-20,0.00240176,391089,708379,192.652
0,-568.8,-1.16719e-20,0.00249813,391467,708620,8.69158
0,-567.6,1.17005e-20,0.00259452,391845,708861,-175.269
0,-566.4,9.95608e-20,0.00269094,392223,709102,-359.23
0,-565.2,4.52333e-24,0.00278742,392738,709569,-338.061
0,-564,5.09708e-24,0.00288403,393451,710350,-48.8741
0,-562.8,5.62204e-24,0.00298072,394176,711129,217.8
0,-561.6,6.09821e-24,0.0030775,394913,711905,461.962
0,-560.4,6.52558e-24,0.00317436,395662,712680,683.611
0,-559.2,6.90416e-24,0.0032713,396424,713452,882.748
0,-558,7.23395e-24,0.00336832,397197,714222,1059.37
0,-556.8,7.51495e-24,0.00346543,397983,714991,1213.49
0,-555.6,7.74715e-24,0.00356263,398781,715757,1345.09
0,-554.4,7.93057e-24,0.0036599,399591,716520,1454.17
0,-553.2,8.06519e-24,0.00375726,400414,717282,1540.75
0,-552,8.15102e-24,0.00385471,401248,718042,1604.81
0,-550.8,8.18805e-24,0.00395224,402095,718799,1646.36
0,-549.6,8.1763e-24,0.00404985,402954,719555,1665.4
0,-548.4,8.11575e-24,0.00414754,403825,720308,1661.93
0,-547.2,8.00641e-24,0.00424532,404708,721059,1635.94
0,-546,7.84828e-24,0.00434318,405604,721808,1587.44
0,-544.8,7.64135e-24,0.00444113,406511,722555,1516.43
0,-543.6,7.38564e-24,0.00453916,407431,723300,1422.91
0,-542.4,7.08113e-24,0.00463727,408363,724043,1306.87
0,-541.2,6.72783e-24,0.00473547,409307,724784,1168.32
0,-540,6.32574e-24,0.00483375,410264,725522,1007.26
0,-538.8,5.87485e-24,0.00493211,411232,726259,823.69
0,-537.6,5.37517e-24,0.00503056,412213,726993,617.605
0,-536.4,4.8267e-24,0.00512909,413206,727725,389.007
0,-535.2,4.22944e-24,0.00522771,414211,728455,137.898
0,-534,-8.91821e-20,0.0053264,415309,729844,-173.315
0,-532.8,5.48616e-24,0.00542527,416417,731239,-456.936
0,-531.6,6.04847e-24,0.0055243,417532,732624,-711.569
0,-530.4,6.55719e-24,0.0056235,418656,733999,-937.214
0,-529.2,9.04348e-20,0.00572287,419788,735365,-1133.87
0,-528,-9.07306e-20,0.0058224,420928,736722,-1301.54
0,-526.8,9.1056e-20,0.0059221,422076,738069,-1440.22
0,-525.6,8.05612e-24,0.00602197,423232,739406,-1549.91
0,-524.4,-9.16603e-20,0.00612201,424397,740734,-1630.61
0,-523.2,8.48404e-24,0.00622221,425569,742053,-1682.33
0,-522,8.61761e-24,0.00632258,426749,743362,-1705.06
0,-520.8,8.69758e-24,0.00642312,427938,744662,-1698.8
0,-519.6,-4.6446e-20,0.00652383,429134,745952,-1663.55
0,-518.4,8.69676e-24,0.0066247,430339,747232,-1599.31
0,-517.2,-4.67563e-20,0.00672574,431552,748503,-1506.09
0,-516,8.48157e-24,0.00682695,432772,749765,-1383.87
0,-514.8,8.29358e-24,0.00692833,434001,751017,-1232.67
0,-513.6,8.05201e-24,0.00702987,435238,752259,-1052.48
0,-512.4,-4.73776e-20,0.00713158,436483,753492,-843.303
0,-511.2,2.37776e-20,0.00723346,437736,754716,-605.137
0,-510,2.38548e-20,0.00733551,438997,755930,-337.983
0,-508.8,6.54978e-24,0.00743772,440267,757135,-41.8411
0,-507.6,-1.19954e-20,0.0075401,441544,758330,283.289
0,-506.4,3.61261e-20,0.00764265,442829,759515,637.408
0,-505.2,-6.03464e-21,0.00774537,444123,760691,1020.51
0,-504,4.95975e-24,0.0078481,445715,762280,1044.95
0,-502.8,1.25644e-19,0.00795093,447564,764229,760.269
0,-501.6,1.26326e-19,0.00805398,449418,766174,499.344
0,-500.4,6.89907e-24,0.00815727,451276,768117,262.177
0,-499.2,7.42806e-24,0.00826078,453140,770057,48.7687
0,-498,7.89834e-24,0.00836453,455008,771995,-140.881
0,-496.8,1.29053e-19,0.00846851,456881,773930,-306.772
0,-495.6,6.48716e-20,0.00857272,458759,775862,-448.905
0,-494.4,6.52126e-20,0.00867716,460642,777791,-567.278
0,-493.2,6.55535e-20,0.00878184,462530,779718,-661.894
0,-492,6.58943e-20,0.00888674,464423,781642,-732.75
0,-490.8,6.62351e-20,0.00899188,466320,783563,-779.848
0,-489.6,9.54606e-24,0.00909724,468223,785482,-803.188
0,-488.4,6.69165e-20,0.00920284,470130,787397,-802.769
0,-487.2,6.72571e-20,0.00930867,472043,789311,-778.591
0,-486,6.75977e-20,0.00941473,473960,791221,-730.655
0,-484.8,6.79382e-20,0.00952102,475882,793129,-658.96
0,-483.6,3.41438e-20,0.00962754,477809,795034,-563.507
0,-482.4,3.43138e-20,0.0097343,479741,796936,-444.294
0,-481.2,6.89593e-20,0.00984128,481678,798836,-301.324
0,-480,6.92996e-20,0.0099485,483620,800733,-134.595
0,-478.8,6.96398e-20,0.0100559,485566,802627,55.8934
0,-477.6,8.74731e-20,0.0101636,487518,804519,270.14
0,-476.4,5.27416e-20,0.0102715,489474,806408,508.145
0,-475.2,6.18282e-20,0.0103797,491435,808294,769.909
0,-474,5.12512e-24,0.010488,493461,810254,1005.44
0,-472.8,5.95072e-24,0.0105966,496049,812934,780.773
0,-471.6,6.71049e-24,0.0107055,498637,815614,556.109
0,-470.4,7.40443e-24,0.0108147,501225,818294,331.444
0,-469.2,8.03255e-24,0.0109242,503813,820975,106.78
0,-468,8.59485e-24,0.011034,506401,823655,-117.884
0,-466.8,9.09132e-24,0.0111442,508989,826335,-342.549
0,-465.6,9.52197e-24,0.0112547,511577,829015,-567.213
0,-464.4,9.8868e-24,0.0113655,514165,831696,-791.878
0,-463.2,1.01858e-23,0.0114766,516753,834376,-1016.54
0,-462,1.0419e-23,0.0115881,519342,837056,-1241.21
0,-460.8,1.05863e-23,0.0116998,521930,839736,-1465.87
0,-459.6,1.06878e-23,0.0118119,524518,842417,-1690.54
0,-458.4,1.07235e-23,0.0119243,527106,845097,-1915.2
0,-457.2,1.06934e-23,0.012037,529694,847777,-2139.86
0,-456,1.05975e-23,0.0121501,532282,850457,-2364.53
0,-454.8,1.04357e-23,0.0122635,534870,853138,-2589.19
0,-453.6,1.02081e-23,0.0123772,537458,855818,-2813.86
0,-452.4,9.91469e-24,0.0124912,540046,858498,-3038.52
0,-451.2,9.55544e-24,0.0126055,542634,861178,-3263.19
0,-450,9.13037e-24,0.0127201,545222,863859,-3487.85
0,-448.8,8.63948e-24,0.0128351,547810,866539,-3712.52
0,-447.6,8.08276e-24,0.0129504,550398,869219,-3937.18
0,-446.4,7.46022e-24,0.013066,552986,871899,-4161.84
0,-445.2,6.77185e-24,0.013182,555574,874580,-4386.51
0,-444,6.01766e-24,0.0132982,558162,877260,-4611.17
0,-442.8,-1.1073e-19,0.0134147,561475,880488,-4515.04
0,-441.6,7.29577e-24,0.0135314,565172,884007,-4250.99
0,-440.4,8.13401e-24,0.0136486,568870,887530,-3988.34
0,-439.2,1.13343e-19,0.0137662,572569,891056,-3727.11
0,-438,9.58301e-24,0.0138843,576271,894584,-3467.29
0,-436.8,-1.15056e-19,0.0140028,579974,898117,-3208.88
0,-435.6,1.07287e-23,0.0141217,583678,901652,-2951.88
0,-434.4,1.1681e-19,0.014241,587385,905190,-2696.3
0,-433.2,1.15711e-23,0.0143608,591093,908732,-2442.12
0,-432,1.18786e-23,0.0144811,594802,912277,-2189.36
0,-430.8,1.21102e-23,0.0146017,598513,915825,-1938.01
0,-429.6,1.2266e-23,0.0147228,602226,919376,-1688.07
0,-428.4,1.2346e-23,0.0148443,605941,922930,-1439.55
0,-427.2,1.23502e-23,0.0149663,609657,926487,-1192.43
0,-426,1.22785e-23,0.0150887,613375,930048,-946.733
0,-424.8,1.2131e-23,0.0152115,617094,933612,-702.443
0,-423.6,-6.22847e-20,0.0153348,620816,937179,-459.566
0,-422.4,-6.2718e-20,0.0154584,624538,940749,-218.1
0,-421.2,-6.31514e-20,0.0155826,628263,944322,21.9541
0,-420,3.18086e-20,0.0157071,631989,947899,260.596
0,-418.8,1.02562e-23,0.0158321,635717,951478,497.826
0,-417.6,6.44714e-20,0.0159575,639446,955061,733.644
0,-416.4,-4.86621e-20,0.0160834,643177,958647,968.05
0,-415.2,-6.53196e-20,0.0162097,646910,962236,1201.04
0,-414,3.28878e-20,0.0163364,650644,965828,1432.63
0,-412.8,6.93722e-24,0.0164635,654615,969696,1537.63
0,-411.6,8.06056e-24,0.016591,659448,974564,1181.49
0,-410.4,9.09459e-24,0.0167191,664281,979432,825.353
0,-409.2,1.00393e-23,0.0168477,669114,984301,469.216
0,-408,1.08947e-23,0.0169769,673947,989169,113.08
0,-406.8,1.16608e-23,0.0171067,678780,994037,-243.056
0,-405.6,1.23376e-23,0.0172371,683613,998905,-599.193
0,-404.4,1.2925e-23,0.0173681,688446,1.00377e+06,-955.329
0,-403.2,1.34232e-23,0.0174996,693279,1.00864e+06,-1311.47
0,-402,1.3832e-23,0.0176317,698112,1.01351e+06,-1667.6
0,-400.8,1.41515e-23,0.0177644,702945,1.01838e+06,-2023.74
0,-399.6,1.43817e-23,0.0178976,707778,1.02325e+06,-2379.87
0,-398.4,1.45226e-23,0.0180315,712611,1.02812e+06,-2736.01
0,-397.2,1.45741e-23,0.0181659,717444,1.03298e+06,-3092.15
0,-396,1.45364e-23,0.0183009,722277,1.03785e+06,-3448.28
0,-394.8,1.44093e-23,0.0184365,727110,1.04272e+06,-3804.42
0,-393.6,1.41929e-23,0.0185726,731943,1.04759e+06,-4160.56
0,-392.4,1.38872e-23,0.0187094,736776,1.05246e+06,-4516.69
0,-391.2,1.34922e-23,0.0188467,741609,1.05732e+06,-4872.83
0,-390,1.30079e-23,0.0189846,746442,1.06219e+06,-5228.97
0,-388.8,1.24343e-23,0.019123,751275,1.06706e+06,-5585.1
0,-387.6,1.17713e-23,0.0192621,756108,1.07193e+06,-5941.24
0,-386.4,1.1019e-23,0.0194017,760941,1.0768e+06,-6297.38
0,-385.2,1.01774e-23,0.0195419,765774,1.08167e+06,-6653.51
0,-384,9.24654e-24,0.0196827,770607,1.08653e+06,-7009.65
0,-382.8,8.22633e-24,0.019824,775440,1.0914e+06,-7365.78
0,-381.6,-2.8773e-19,0.019967,781233,1.09837e+06,-6726.45
0,-380.4,1.03368e-23,0.0201112,787349,1.10591e+06,-5894.62
0,-379.2,1.15181e-23,0.0202561,793510,1.11341e+06,-5176.27
0,-378,-2.96767e-19,0.0204019,799716,1.12086e+06,-4571.4
