x,y,sigxx,sigyy,sigxy
0, 0, -2.29425e+06, -2.25385e+06, -776.425
0.5, 0, -2.29404e+06, -2.2039e+06, -250.079
1, 0, -2.29382e+06, -2.15404e+06, 172.06
1.5, 0, -2.29359e+06, -2.10427e+06, 489.992
2, 0, -2.29334e+06, -2.0546e+06, 703.718
2.5, 0, -2.29307e+06, -2.00509e+06, 770.426
3, 0, -2.29265e+06, -1.9562e+06, 478.187
3.5, 0, -2.29223e+06, -1.90732e+06, 185.948
4, 0, -2.29181e+06, -1.85843e+06, -106.29
4.5, 0, -2.29139e+06, -1.80954e+06, -398.529
5, 0, -2.29071e+06, -1.76081e+06, -264.707
5.5, 0, -2.28938e+06, -1.71273e+06, 751.041
6, 0, -2.28805e+06, -1.6651e+06, 1500.32
6.5, 0, -2.28671e+06, -1.6179e+06, 1983.13
7, 0, -2.28536e+06, -1.57115e+06, 2199.47
7.5, 0, -2.28383e+06, -1.52489e+06, 1905.11
8, 0, -2.28173e+06, -1.47926e+06, 877.103
8.5, 0, -2.27948e+06, -1.43418e+06, -68.2824
9, 0, -2.27707e+06, -1.38962e+06, -931.05
9.5, 0, -2.27451e+06, -1.34559e+06, -1711.2
10, 0, -2.27136e+06, -1.30197e+06, -1601.23
10.5, 0, -2.26719e+06, -1.25873e+06, 231.016
11, 0, -2.26313e+06, -1.21625e+06, 1577.42
11.5, 0, -2.25919e+06, -1.17453e+06, 2437.99
12, 0, -2.25537e+06, -1.13358e+06, 2812.72
12.5, 0, -2.25146e+06, -1.09364e+06, 2601.5
13, 0, -2.24594e+06, -1.05586e+06, 1392.28
13.5, 0, -2.24046e+06, -1.01794e+06, 191.759
14, 0, -2.23503e+06, -979879, -1000.05
14.5, 0, -2.22964e+06, -941682, -2183.16
15, 0, -2.2243e+06, -903347, -3357.57
15.5, 0, -2.21633e+06, -866969, -1134
16, 0, -2.20872e+06, -831472, 581.741
16.5, 0, -2.20147e+06, -796846, 1763.43
17, 0, -2.19459e+06, -763091, 2411.07
17.5, 0, -2.18808e+06, -730206, 2524.66
18, 0, -2.18027e+06, -699224, 1689.28
18.5, 0, -2.17149e+06, -669051, 493.652
19, 0, -2.16271e+06, -638878, -701.98
19.5, 0, -2.15393e+06, -608704, -1897.61
20, 0, -2.14515e+06, -578531, -3093.24
20.5, 0, -2.13564e+06, -549476, -3382.59
21, 0, -2.12453e+06, -523048, -1712.98
21.5, 0, -2.1136e+06, -496639, -286.933
22, 0, -2.10286e+06, -470250, 895.541
22.5, 0, -2.0923e+06, -443882, 1834.44
23, 0, -2.08191e+06, -417533, 2529.78
23.5, 0, -2.07114e+06, -394204, 1817.18
24, 0, -2.06019e+06, -371688, 727.919
24.5, 0, -2.0492e+06, -349237, -427.854
25, 0, -2.03815e+06, -326849, -1650.14
25.5, 0, -2.02706e+06, -304527, -2938.94
26, 0, -2.01529e+06, -283513, -3375.79
26.5, 0, -2.00253e+06, -264678, -2328.73
27, 0, -1.99e+06, -245782, -1453.05
27.5, 0, -1.97768e+06, -226826, -748.759
28, 0, -1.96557e+06, -207808, -215.858
28.5, 0, -1.95367e+06, -188730, 145.656
29, 0, -1.94073e+06, -172083, -230.922
29.5, 0, -1.92731e+06, -156425, -858.277
30, 0, -1.91389e+06, -140767, -1485.28
30.5, 0, -1.90047e+06, -125109, -2111.93
31, 0, -1.88705e+06, -109451, -2738.22
31.5, 0, -1.87355e+06, -94117.1, -3179.14
32, 0, -1.85959e+06, -80965.6, -2489.89
32.5, 0, -1.84585e+06, -67981.3, -1916.41
33, 0, -1.83233e+06, -55164.3, -1458.69
33.5, 0, -1.81902e+06, -42514.7, -1116.74
34, 0, -1.80593e+06, -30032.3, -890.55
34.5, 0, -1.7928e+06, -17923.6, -816.125
35, 0, -1.77891e+06, -6761.49, -947.25
35.5, 0, -1.7649e+06, 3965.06, -1167.3
36, 0, -1.75077e+06, 14256, -1476.28
36.5, 0, -1.73652e+06, 24111.4, -1874.18
37, 0, -1.72214e+06, 33531.2, -2361
37.5, 0, -1.70799e+06, 42110.3, -2552.93
38, 0, -1.69426e+06, 50059, -2290.78
38.5, 0, -1.68053e+06, 58003.9, -2030.35
39, 0, -1.66679e+06, 65944.9, -1771.64
39.5, 0, -1.65306e+06, 73882.1, -1514.66
40, 0, -1.63933e+06, 81815.5, -1259.4
40.5, 0, -1.62556e+06, 89424.1, -1113.36
41, 0, -1.61169e+06, 96338, -1065.89
41.5, 0, -1.59774e+06, 102964, -922.364
42, 0, -1.58371e+06, 109302, -682.776
42.5, 0, -1.5696e+06, 115351, -347.129
43, 0, -1.55541e+06, 121113, 84.5788
43.5, 0, -1.54174e+06, 126291, 374.376
44, 0, -1.52886e+06, 130983, 367.516
44.5, 0, -1.51598e+06, 135675, 360.653
45, 0, -1.5031e+06, 140366, 353.786
45.5, 0, -1.49023e+06, 145058, 346.915
46, 0, -1.47735e+06, 149750, 340.041
46.5, 0, -1.4643e+06, 154311, 284.858
47, 0, -1.45062e+06, 158268, 5.99511
47.5, 0, -1.43701e+06, 162091, -323.182
48, 0, -1.42346e+06, 165781, -702.672
48.5, 0, -1.40997e+06, 169336, -1132.48
49, 0, -1.39655e+06, 172758, -1612.59
49.5, 0, -1.38371e+06, 175787, -1972.76
50, 0, -1.37315e+06, 177791, -1692.16
50.5, 0, -1.36294e+06, 179884, -1435.39
51, 0, -1.35308e+06, 182068, -1202.43
51.5, 0, -1.3391e+06, 183958, -850.979
52, 0, -1.32569e+06, 185891, -623.165
52.5, 0, -1.31285e+06, 187870, -519.799
53, 0, -1.30059e+06, 189895, -540.881
53.5, 0, -1.28891e+06, 191965, -686.41
54, 0, -1.27781e+06, 194081, -956.386
54.5, 0, -1.26634e+06, 195572, -968.422
55, 0, -1.25466e+06, 196735, -862.039
55.5, 0, -1.24313e+06, 197856, -795.232
56, 0, -1.23175e+06, 198934, -767.999
56.5, 0, -1.22052e+06, 199970, -780.341
57, 0, -1.20943e+06, 200965, -832.258
57.5, 0, -1.19815e+06, 201989, -911.616
58, 0, -1.18574e+06, 203192, -921.927
58.5, 0, -1.17404e+06, 204157, -883.19
59, 0, -1.16303e+06, 204884, -795.403
59.5, 0, -1.15272e+06, 205371, -658.566
60, 0, -1.14311e+06, 205621, -472.68
60.5, 0, -1.13421e+06, 205632, -237.745
61, 0, -1.1247e+06, 205736, -246.141
61.5, 0, -1.11469e+06, 205958, -385.072
62, 0, -1.10468e+06, 206181, -524.002
62.5, 0, -1.09467e+06, 206403, -662.933
63, 0, -1.08466e+06, 206625, -801.863
63.5, 0, -1.07465e+06, 206848, -940.794
64, 0, -1.06464e+06, 207070, -1079.72
64.5, 0, -1.05508e+06, 207021, -718.772
65, 0, -1.04566e+06, 206950, -425.622
65.5, 0, -1.03636e+06, 206861, -207.977
66, 0, -1.0272e+06, 206755, -65.8367
66.5, 0, -1.01817e+06, 206631, 0.798564
67, 0, -1.00927e+06, 206489, -8.07114
67.5, 0, -1.00044e+06, 206298, -125.466
68, 0, -991305, 205924, -421.853
68.5, 0, -982059, 205546, -651.801
69, 0, -972703, 205161, -815.31
69.5, 0, -963238, 204772, -912.379
70, 0, -953960, 204417, -810.761
70.5, 0, -945561, 204107, -389.734
71, 0, -937447, 203718, -17.0271
71.5, 0, -929619, 203248, 307.361
72, 0, -922076, 202699, 583.43
72.5, 0, -914819, 202070, 811.18
73, 0, -907847, 201360, 990.61
73.5, 0, -901161, 200571, 1121.72
74, 0, -894760, 199702, 1204.51
74.5, 0, -888644, 198753, 1238.99
75, 0, -880607, 197863, 824.964
75.5, 0, -872630, 196991, 361.255
76, 0, -864717, 196136, -151.937
76.5, 0, -856866, 195298, -714.612
77, 0, -849529, 194538, -1290.33
77.5, 0, -842510, 193725, -1818.88
78, 0, -835420, 192945, -2079.59
78.5, 0, -826970, 192545, -1376.92
79, 0, -818769, 192075, -801.925
79.5, 0, -810816, 191532, -354.598
80, 0, -803112, 190918, -34.9431
80.5, 0, -795657, 190232, 157.04
81, 0, -788450, 189475, 221.351
81.5, 0, -781492, 188646, 157.99
82, 0, -774782, 187745, -33.0423
82.5, 0, -768322, 186772, -351.747
83, 0, -762110, 185728, -798.123
83.5, 0, -756008, 184741, -1271.15
84, 0, -749978, 183873, -1627.54
84.5, 0, -744223, 182946, -1968.87
85, 0, -738743, 181959, -2295.14
85.5, 0, -733091, 181042, -2241.9
86, 0, -727251, 180181, -1994.28
86.5, 0, -721411, 179321, -1746.11
87, 0, -715571, 178461, -1497.39
87.5, 0, -709732, 177600, -1248.1
88, 0, -703892, 176740, -998.266
88.5, 0, -698053, 175879, -747.872
89, 0, -692214, 175018, -496.922
89.5, 0, -686376, 174158, -245.416
90, 0, -680537, 173297, 6.64606
90.5, 0, -674699, 172437, 259.264
91, 0, -669395, 171502, 211.43
91.5, 0, -664607, 170493, -71.2101
92, 0, -659951, 169461, -356.197
92.5, 0, -655426, 168408, -643.53
93, 0, -650393, 167474, -807.277
93.5, 0, -645181, 166588, -887.111
94, 0, -640076, 165686, -935.023
94.5, 0, -635078, 164769, -951.013
95, 0, -630188, 163836, -935.082
95.5, 0, -625404, 162888, -887.228
96, 0, -620727, 161925, -807.452
96.5, 0, -616158, 160946, -695.755
97, 0, -611696, 159952, -552.136
97.5, 0, -607341, 158942, -376.594
98, 0, -603092, 157917, -169.131
98.5, 0, -598952, 156914, -65.5847
99, 0, -594854, 156016, -358.119
99.5, 0, -590755, 155117, -668.878
100, 0, -586654, 154219, -997.862
100.5, 0, -582337, 153382, -1267.34
101, 0, -577450, 152707, -1295.08
101.5, 0, -572660, 152004, -1288.01
102, 0, -567967, 151271, -1246.13
102.5, 0, -563372, 150510, -1169.45
103, 0, -558874, 149719, -1057.95
103.5, 0, -554474, 148899, -911.652
104, 0, -550170, 148050, -730.542
104.5, 0, -545965, 147172, -514.623
105, 0, -541856, 146265, -263.896
105.5, 0, -537845, 145329, 21.6401
106, 0, -533932, 144364, 341.984
106.5, 0, -530252, 143431, 452.825
107, 0, -526752, 142558, 299.546
107.5, 0, -523251, 141685, 145.326
108, 0, -519750, 140812, -9.83354
108.5, 0, -516247, 139973, -107.104
109, 0, -512739, 139195, -93.21
109.5, 0, -509231, 138417, -79.3166
