x,y,u1,u2,sxx,syy,sxy
0,-40.7,3.74376e-25,0.000116421,213271,469785,-861.097
0,-40.6,3.83813e-25,0.000117754,214486,470935,-747.99
0,-40.5,3.91136e-25,0.000119091,215702,472087,-637.309
0,-40.4,3.96346e-25,0.00012043,216917,473240,-529.054
0,-40.3,3.99443e-25,0.000121772,218133,474395,-423.223
0,-40.2,4.00428e-25,0.000123117,219348,475551,-319.818
0,-40.1,-3.59706e-22,0.000124465,220564,476709,-218.839
0,-40,3.63663e-22,0.000125815,221780,477868,-120.284
0,-39.9,3.90702e-25,0.000127169,222996,479029,-24.1554
0,-39.8,-3.69206e-22,0.000128525,224212,480191,69.5483
0,-39.7,3.73653e-25,0.000129884,225428,481354,160.827
0,-39.6,3.76275e-22,0.000131246,226644,482519,249.679
0,-39.5,3.48152e-25,0.000132611,227860,483686,336.107
0,-39.4,-1.90786e-22,0.000133979,229076,484853,420.109
0,-39.3,-3.85083e-22,0.000135349,230293,486023,501.686
0,-39.2,2.94052e-25,0.000136723,231509,487193,580.838
0,-39.1,-1.95588e-22,0.000138099,232725,488366,657.564
0,-39,-4.91128e-23,0.000139478,233942,489539,731.865
0,-38.9,-2.73434e-22,0.00014086,235159,490714,803.74
0,-38.8,2.45208e-25,0.000142244,236754,492353,473.77
0,-38.7,2.77333e-25,0.000143632,238410,494081,100.595
0,-38.6,3.06989e-25,0.000145025,240053,495810,-234.736
0,-38.5,3.34175e-25,0.000146422,241682,497539,-532.222
0,-38.4,3.5889e-25,0.000147823,243297,499268,-791.864
0,-38.3,3.81136e-25,0.000149228,244898,500998,-1013.66
0,-38.2,4.00912e-25,0.000150638,246485,502727,-1197.61
0,-38.1,4.18218e-25,0.000152052,248059,504457,-1343.72
0,-38,-8.72178e-22,0.00015347,249618,506187,-1451.98
0,-37.9,4.45421e-25,0.000154893,251164,507918,-1522.4
0,-37.8,4.55317e-25,0.00015632,252696,509648,-1554.98
0,-37.7,4.62744e-25,0.000157751,254214,511379,-1549.71
0,-37.6,4.677e-25,0.000159186,255718,513110,-1506.59
0,-37.5,4.70187e-25,0.000160625,257208,514841,-1425.63
0,-37.4,4.70204e-25,0.000162069,258685,516572,-1306.83
0,-37.3,-4.64387e-22,0.000163517,260147,518304,-1150.18
0,-37.2,4.69396e-22,0.00016497,261596,520035,-955.69
0,-37.1,4.73468e-22,0.000166426,263031,521767,-723.353
0,-37,4.45572e-25,0.000167887,264452,523499,-453.172
0,-36.9,-4.80736e-22,0.000169353,265860,525232,-145.146
0,-36.8,-4.84829e-22,0.000170822,267253,526964,200.725
0,-36.7,2.45064e-22,0.000172296,268633,528697,584.44
0,-36.6,3.81422e-25,0.000173774,269998,530430,1006
0,-36.5,3.59209e-25,0.000175256,271350,532163,1465.4
0,-36.4,5.01896e-22,0.000176743,272688,533897,1962.65
0,-36.3,3.79537e-22,0.000178234,274013,535631,2497.75
0,-36.2,2.77753e-25,0.000179729,275323,537364,3070.68
0,-36.1,1.70039e-21,0.000181229,277033,539440,3170.96
0,-36,1.72133e-21,0.000182736,279323,541975,2591.67
0,-35.9,1.74227e-21,0.000184249,281622,544483,2046.45
0,-35.8,1.7632e-21,0.000185768,283930,546964,1535.31
0,-35.7,4.18676e-25,0.000187292,286246,549419,1058.23
0,-35.6,4.46752e-25,0.000188822,288571,551846,615.215
0,-35.5,4.71873e-25,0.000190358,290905,554247,206.273
0,-35.4,4.9404e-25,0.0001919,293248,556620,-168.599
0,-35.3,5.13252e-25,0.000193447,295599,558967,-509.403
0,-35.2,5.29509e-25,0.000195,297960,561287,-816.136
0,-35.1,5.42812e-25,0.000196559,300328,563580,-1088.8
0,-35,1.93057e-21,0.000198123,302706,565846,-1327.4
0,-34.9,-1.95035e-21,0.000199693,305092,568086,-1531.92
0,-34.8,5.64994e-25,0.000201269,307487,570298,-1702.38
0,-34.7,-9.95791e-22,0.000202851,309891,572484,-1838.77
0,-34.6,-1.00624e-21,0.000204438,312304,574642,-1941.09
0,-34.5,1.01782e-21,0.000206031,314725,576774,-2009.34
0,-34.4,1.02826e-21,0.00020763,317155,578879,-2043.52
0,-34.3,5.42871e-25,0.000209235,319594,580957,-2043.63
0,-34.2,-1.04808e-21,0.000210845,322041,583008,-2009.67
0,-34.1,1.05957e-21,0.000212461,324497,585032,-1941.64
0,-34,5.35248e-22,0.000214083,326962,587030,-1839.54
0,-33.9,5.40451e-22,0.00021571,329436,589000,-1703.38
0,-33.8,-5.44757e-22,0.000217343,331918,590944,-1533.14
0,-33.7,1.10128e-21,0.000218982,334409,592861,-1328.84
0,-33.6,-8.33093e-22,0.000220627,336909,594751,-1090.47
0,-33.5,-1.39866e-22,0.000222277,339417,596614,-818.023
0,-33.4,-4.14863e-22,0.000223933,341935,598450,-511.511
0,-33.3,3.68458e-25,0.000225579,345033,601817,-666.829
0,-33.2,4.16635e-25,0.000227233,348133,605189,-823.934
0,-33.1,4.61102e-25,0.000228895,351233,608562,-981.038
0,-33,5.01858e-25,0.000230566,354334,611934,-1138.14
0,-32.9,5.38903e-25,0.000232245,357434,615307,-1295.25
0,-32.8,5.72237e-25,0.000233932,360534,618680,-1452.35
0,-32.7,6.0186e-25,0.000235627,363635,622052,-1609.45
0,-32.6,6.27773e-25,0.000237331,366735,625425,-1766.56
0,-32.5,6.49974e-25,0.000239043,369835,628798,-1923.66
0,-32.4,6.68465e-25,0.000240764,372935,632170,-2080.77
0,-32.3,6.83245e-25,0.000242493,376036,635543,-2237.87
0,-32.2,6.94314e-25,0.00024423,379136,638916,-2394.98
0,-32.1,7.01672e-25,0.000245975,382236,642288,-2552.08
0,-32,7.05319e-25,0.000247729,385337,645661,-2709.18
0,-31.9,7.05256e-25,0.000249491,388437,649034,-2866.29
0,-31.8,7.01481e-25,0.000251261,391537,652406,-3023.39
0,-31.7,6.93996e-25,0.00025304,394638,655779,-3180.5
0,-31.6,6.828e-25,0.000254827,397738,659152,-3337.6
0,-31.5,6.67893e-25,0.000256622,400838,662524,-3494.7
0,-31.4,6.49275e-25,0.000258425,403938,665897,-3651.81
0,-31.3,6.26947e-25,0.000260237,407039,669270,-3808.91
0,-31.2,6.00907e-25,0.000262058,410139,672642,-3966.02
0,-31.1,5.71157e-25,0.000263886,413239,676015,-4123.12
0,-31,5.37696e-25,0.000265723,416340,679388,-4280.23
0,-30.9,5.00524e-25,0.000267568,419440,682760,-4437.33
0,-30.8,4.59641e-25,0.000269421,422540,686133,-4594.43
0,-30.7,4.15047e-25,0.000271283,425640,689506,-4751.54
0,-30.6,4.33648e-25,0.000273149,429366,692951,-4713
0,-30.5,4.9703e-25,0.000275023,433576,696550,-4528.88
0,-30.4,-1.78978e-21,0.000276908,437816,700277,-4342.84
0,-30.3,1.81279e-21,0.000278804,442088,704132,-4154.89
0,-30.2,1.83469e-21,0.000280711,446391,708114,-3965.01
0,-30.1,1.85658e-21,0.000282628,450725,712223,-3773.23
0,-30,7.43502e-25,0.000284556,455090,716460,-3579.52
0,-29.9,7.78709e-25,0.000286496,459485,720825,-3383.9
0,-29.8,8.09221e-25,0.000288446,463912,725317,-3186.36
0,-29.7,8.35036e-25,0.000290407,468370,729937,-2986.9
0,-29.6,-1.96427e-21,0.000292379,472859,734684,-2785.53
0,-29.5,8.7258e-25,0.000294362,477379,739558,-2582.24
0,-29.4,8.84309e-25,0.000296356,481929,744561,-2377.03
0,-29.3,8.91341e-25,0.00029836,486511,749690,-2169.9
0,-29.2,8.93678e-25,0.000300376,491124,754948,-1960.86
0,-29.1,1.03808e-21,0.000302402,495768,760332,-1749.9
0,-29,8.84264e-25,0.000304439,500442,765844,-1537.02
0,-28.9,-1.05817e-21,0.000306488,505148,771484,-1322.23
0,-28.8,8.56068e-25,0.000308547,509885,777252,-1105.52
0,-28.7,8.34926e-25,0.000310617,514652,783146,-886.89
0,-28.6,-5.45097e-22,0.000312698,519451,789169,-666.345
0,-28.5,5.52147e-22,0.000314789,524281,795318,-443.883
0,-28.4,-1.11292e-21,0.000316892,529141,801596,-219.503
0,-28.3,5.62997e-22,0.000319006,534033,808001,6.79328
0,-28.2,-2.83219e-22,0.00032113,538956,814533,235.007
0,-28.1,-8.59218e-22,0.000323265,543909,821193,465.138
0,-28,6.51571e-22,0.000325412,548894,827980,697.185
0,-27.9,5.19973e-25,0.000327568,553950,834244,781.24
0,-27.8,6.05126e-25,0.000329733,559280,837194,83.1949
0,-27.7,6.84202e-25,0.000331914,564682,840438,-561.217
0,-27.6,7.57201e-25,0.000334111,570157,843979,-1152
0,-27.5,8.24121e-25,0.000336324,575704,847814,-1689.14
0,-27.4,8.84964e-25,0.000338552,581324,851945,-2172.66
0,-27.3,9.39729e-25,0.000340797,587017,856371,-2602.54
0,-27.2,9.88416e-25,0.000343057,592782,861092,-2978.79
0,-27.1,1.03103e-24,0.000345333,598620,866108,-3301.41
0,-27,1.06756e-24,0.000347625,604530,871420,-3570.4
0,-26.9,1.09801e-24,0.000349933,610513,877026,-3785.75
0,-26.8,1.12239e-24,0.000352256,616568,882929,-3947.47
0,-26.7,-2.07421e-21,0.000354596,622696,889126,-4055.56
0,-26.6,1.15291e-24,0.000356951,628897,895618,-4110.01
0,-26.5,1.15905e-24,0.000359322,635170,902406,-4110.84
0,-26.4,1.15912e-24,0.000361709,641515,909489,-4058.03
0,-26.3,1.1531e-24,0.000364112,647933,916867,-3951.59
0,-26.2,-1.09557e-21,0.000366531,654424,924540,-3791.51
0,-26.1,1.12285e-24,0.000368965,660987,932509,-3577.81
0,-26,-1.11922e-21,0.000371416,667623,940773,-3310.47
0,-25.9,1.1332e-21,0.000373882,674331,949332,-2989.5
0,-25.8,1.03188e-24,0.000376364,681112,958186,-2614.89
0,-25.7,1.15673e-21,0.000378862,687966,967335,-2186.66
0,-25.6,5.84714e-22,0.000381376,694892,976780,-1704.79
0,-25.5,1.18024e-21,0.000383905,701890,986520,-1169.29
0,-25.4,8.94195e-22,0.000386451,708961,996555,-580.154
0,-25.3,1.51129e-22,0.000389012,716105,1.00689e+06,62.6114
0,-25.2,1.13953e-21,0.000391589,723321,1.01751e+06,759.009
0,-25.1,7.51298e-25,0.000394175,731136,1.02307e+06,258.924
0,-25,8.60954e-25,0.000396782,739248,1.02718e+06,-621.171
0,-24.9,9.62518e-25,0.000399412,747472,1.03182e+06,-1428.4
0,-24.8,1.05599e-24,0.000402065,755808,1.03697e+06,-2162.75
0,-24.7,1.14137e-24,0.000404741,764257,1.04264e+06,-2824.24
0,-24.6,1.21866e-24,0.000407441,772819,1.04882e+06,-3412.85
0,-24.5,1.28786e-24,0.000410164,781492,1.05553e+06,-3928.6
0,-24.4,1.34897e-24,0.000412911,790279,1.06275e+06,-4371.47
0,-24.3,1.40199e-24,0.00041568,799178,1.0705e+06,-4741.48
0,-24.2,1.44692e-24,0.000418474,808189,1.07876e+06,-5038.61
0,-24.1,1.48375e-24,0.00042129,817313,1.08754e+06,-5262.88
0,-24,1.5125e-24,0.00042413,826549,1.09683e+06,-5414.28
0,-23.9,1.53315e-24,0.000426993,835897,1.10665e+06,-5492.8
0,-23.8,1.54571e-24,0.000429879,845359,1.11698e+06,-5498.46
0,-23.7,1.55018e-24,0.000432789,854932,1.12784e+06,-5431.24
0,-23.6,1.54656e-24,0.000435722,864618,1.13921e+06,-5291.16
0,-23.5,1.53485e-24,0.000438678,874417,1.15109e+06,-5078.2
0,-23.4,1.51505e-24,0.000441657,884328,1.1635e+06,-4792.38
