x,y,sigxx
20.2, 0, -2.89715e+06
20.3, 0, -2.89715e+06
20.4, 0, -2.88339e+06
20.5, 0, -2.88339e+06
20.6, 0, -2.84124e+06
20.7, 0, -2.80282e+06
20.8, 0, -2.80282e+06
20.9, 0, -2.80282e+06
21, 0, -2.76342e+06
21.1, 0, -2.71602e+06
21.2, 0, -2.71602e+06
21.3, 0, -2.7016e+06
21.4, 0, -2.7016e+06
21.5, 0, -2.64546e+06
21.6, 0, -2.64546e+06
21.7, 0, -2.64546e+06
21.8, 0, -2.60287e+06
21.9, 0, -2.60287e+06
22, 0, -2.60287e+06
22.1, 0, -2.54867e+06
22.2, 0, -2.54867e+06
22.3, 0, -2.54867e+06
22.4, 0, -2.51327e+06
22.5, 0, -2.47109e+06
22.6, 0, -2.47109e+06
22.7, 0, -2.44599e+06
22.8, 0, -2.44599e+06
22.9, 0, -2.44599e+06
23, 0, -2.39555e+06
23.1, 0, -2.39555e+06
23.2, 0, -2.38275e+06
23.3, 0, -2.38275e+06
23.4, 0, -2.3344e+06
23.5, 0, -2.3344e+06
23.6, 0, -2.3344e+06
23.7, 0, -2.31037e+06
23.8, 0, -2.31037e+06
23.9, 0, -2.26398e+06
24, 0, -2.26398e+06
24.1, 0, -2.24793e+06
24.2, 0, -2.24793e+06
24.3, 0, -2.21561e+06
24.4, 0, -2.18343e+06
24.5, 0, -2.18343e+06
24.6, 0, -2.18343e+06
24.7, 0, -2.18343e+06
24.8, 0, -2.15547e+06
24.9, 0, -2.12163e+06
25, 0, -2.12163e+06
25.1, 0, -2.09989e+06
25.2, 0, -2.09989e+06
25.3, 0, -2.09989e+06
25.4, 0, -2.05825e+06
25.5, 0, -2.05825e+06
25.6, 0, -2.03797e+06
25.7, 0, -2.03797e+06
25.8, 0, -2.03797e+06
25.9, 0, -1.99757e+06
26, 0, -1.99757e+06
26.1, 0, -1.98625e+06
26.2, 0, -1.98625e+06
26.3, 0, -1.95155e+06
26.4, 0, -1.95155e+06
26.5, 0, -1.93044e+06
26.6, 0, -1.93044e+06
26.7, 0, -1.93044e+06
26.8, 0, -1.89328e+06
26.9, 0, -1.89328e+06
27, 0, -1.89328e+06
27.1, 0, -1.86788e+06
27.2, 0, -1.86788e+06
27.3, 0, -1.83527e+06
27.4, 0, -1.82124e+06
27.5, 0, -1.82124e+06
27.6, 0, -1.82124e+06
27.7, 0, -1.82124e+06
27.8, 0, -1.78714e+06
27.9, 0, -1.78714e+06
28, 0, -1.78714e+06
28.1, 0, -1.76245e+06
28.2, 0, -1.76245e+06
28.3, 0, -1.76245e+06
28.4, 0, -1.72927e+06
28.5, 0, -1.72927e+06
28.6, 0, -1.72163e+06
28.7, 0, -1.72163e+06
28.8, 0, -1.69211e+06
28.9, 0, -1.69211e+06
29, 0, -1.67259e+06
29.1, 0, -1.67259e+06
29.2, 0, -1.67259e+06
29.3, 0, -1.64137e+06
29.4, 0, -1.64137e+06
29.5, 0, -1.64137e+06
29.6, 0, -1.62844e+06
29.7, 0, -1.62844e+06
29.8, 0, -1.60363e+06
29.9, 0, -1.58429e+06
30, 0, -1.58429e+06
30.1, 0, -1.58199e+06
30.2, 0, -1.58199e+06
30.3, 0, -1.55342e+06
30.4, 0, -1.55342e+06
30.5, 0, -1.55342e+06
30.6, 0, -1.53948e+06
30.7, 0, -1.53948e+06
30.8, 0, -1.53948e+06
30.9, 0, -1.5014e+06
31, 0, -1.5014e+06
31.1, 0, -1.5014e+06
31.2, 0, -1.5014e+06
31.3, 0, -1.5014e+06
31.4, 0, -1.4837e+06
31.5, 0, -1.46479e+06
31.6, 0, -1.46479e+06
31.7, 0, -1.45802e+06
31.8, 0, -1.45802e+06
31.9, 0, -1.43187e+06
32, 0, -1.43187e+06
32.1, 0, -1.43187e+06
32.2, 0, -1.41264e+06
32.3, 0, -1.41264e+06
32.4, 0, -1.41264e+06
32.5, 0, -1.38768e+06
32.6, 0, -1.38768e+06
32.7, 0, -1.38768e+06
32.8, 0, -1.38405e+06
32.9, 0, -1.38405e+06
33, 0, -1.3644e+06
33.1, 0, -1.34841e+06
33.2, 0, -1.34841e+06
33.3, 0, -1.33917e+06
33.4, 0, -1.33917e+06
33.5, 0, -1.33917e+06
33.6, 0, -1.31628e+06
33.7, 0, -1.31628e+06
33.8, 0, -1.31628e+06
33.9, 0, -1.31628e+06
34, 0, -1.29816e+06
34.1, 0, -1.28063e+06
34.2, 0, -1.28063e+06
34.3, 0, -1.28063e+06
34.4, 0, -1.27825e+06
34.5, 0, -1.27825e+06
34.6, 0, -1.25652e+06
34.7, 0, -1.25652e+06
34.8, 0, -1.25652e+06
34.9, 0, -1.23931e+06
35, 0, -1.23931e+06
35.1, 0, -1.23931e+06
35.2, 0, -1.23931e+06
35.3, 0, -1.21829e+06
35.4, 0, -1.21829e+06
35.5, 0, -1.21829e+06
35.6, 0, -1.21829e+06
35.7, 0, -1.20115e+06
35.8, 0, -1.1856e+06
35.9, 0, -1.1856e+06
36, 0, -1.17812e+06
36.1, 0, -1.17812e+06
36.2, 0, -1.17812e+06
36.3, 0, -1.17812e+06
36.4, 0, -1.15881e+06
36.5, 0, -1.15881e+06
36.6, 0, -1.15881e+06
36.7, 0, -1.15881e+06
36.8, 0, -1.14304e+06
36.9, 0, -1.12867e+06
37, 0, -1.12867e+06
37.1, 0, -1.12867e+06
37.2, 0, -1.1274e+06
37.3, 0, -1.1274e+06
37.4, 0, -1.10921e+06
37.5, 0, -1.10921e+06
37.6, 0, -1.10921e+06
37.7, 0, -1.0993e+06
37.8, 0, -1.0993e+06
37.9, 0, -1.0993e+06
38, 0, -1.08674e+06
38.1, 0, -1.07726e+06
38.2, 0, -1.07726e+06
38.3, 0, -1.07726e+06
38.4, 0, -1.07726e+06
38.5, 0, -1.06315e+06
38.6, 0, -1.0497e+06
38.7, 0, -1.0497e+06
38.8, 0, -1.0497e+06
38.9, 0, -1.04819e+06
39, 0, -1.04819e+06
39.1, 0, -1.04819e+06
39.2, 0, -1.03172e+06
39.3, 0, -1.03172e+06
39.4, 0, -1.03172e+06
39.5, 0, -1.02381e+06
39.6, 0, -1.02381e+06
39.7, 0, -1.00801e+06
39.8, 0, -1.00801e+06
39.9, 0, -1.00801e+06
40, 0, -1.00017e+06
40.1, 0, -1.00017e+06
40.2, 0, -1.00017e+06
40.3, 0, -984894
40.4, 0, -984894
40.5, 0, -984894
40.6, 0, -979134
40.7, 0, -979134
40.8, 0, -979134
40.9, 0, -968458
41, 0, -957829
41.1, 0, -957829
41.2, 0, -957829
41.3, 0, -957829
41.4, 0, -957829
41.5, 0, -946085
41.6, 0, -934788
41.7, 0, -934788
41.8, 0, -934561
41.9, 0, -934561
42, 0, -934561
42.1, 0, -923051
42.2, 0, -913745
42.3, 0, -913745
42.4, 0, -912556
42.5, 0, -912556
42.6, 0, -912556
42.7, 0, -899148
42.8, 0, -899148
42.9, 0, -899148
43, 0, -892525
43.1, 0, -892525
43.2, 0, -892525
43.3, 0, -882005
43.4, 0, -874469
43.5, 0, -874469
43.6, 0, -874469
43.7, 0, -874469
43.8, 0, -874469
43.9, 0, -864007
44, 0, -855430
44.1, 0, -855430
44.2, 0, -855430
44.3, 0, -854386
44.4, 0, -854386
44.5, 0, -844358
44.6, 0, -837177
44.7, 0, -837177
44.8, 0, -837177
44.9, 0, -837177
45, 0, -837177
45.1, 0, -837177
45.2, 0, -819240
45.3, 0, -819240
45.4, 0, -819240
45.5, 0, -818323
45.6, 0, -818323
45.7, 0, -818323
45.8, 0, -806967
45.9, 0, -806967
46, 0, -806967
46.1, 0, -796873
46.2, 0, -796873
46.3, 0, -796873
46.4, 0, -796873
46.5, 0, -786022
46.6, 0, -786022
46.7, 0, -786022
46.8, 0, -786022
46.9, 0, -786022
47, 0, -777175
47.1, 0, -769990
47.2, 0, -769990
47.3, 0, -769990
47.4, 0, -768954
47.5, 0, -768954
47.6, 0, -768954
47.7, 0, -758523
47.8, 0, -758523
47.9, 0, -758523
48, 0, -753582
48.1, 0, -753582
48.2, 0, -753582
48.3, 0, -743548
48.4, 0, -743548
48.5, 0, -743548
48.6, 0, -743548
48.7, 0, -738818
48.8, 0, -738818
48.9, 0, -738818
49, 0, -725091
49.1, 0, -725091
49.2, 0, -725091
49.3, 0, -725091
49.4, 0, -725091
49.5, 0, -725091
49.6, 0, -717429
49.7, 0, -711145
49.8, 0, -711145
49.9, 0, -711145
50, 0, -708434
50.1, 0, -708434
50.2, 0, -708434
50.3, 0, -699376
50.4, 0, -699376
50.5, 0, -699376
50.6, 0, -694989
50.7, 0, -694989
50.8, 0, -694989
50.9, 0, -694989
51, 0, -686181
51.1, 0, -686181
51.2, 0, -686181
51.3, 0, -681847
51.4, 0, -681847
51.5, 0, -681847
51.6, 0, -673392
51.7, 0, -673392
51.8, 0, -673392
51.9, 0, -673392
52, 0, -672359
52.1, 0, -672359
52.2, 0, -672359
52.3, 0, -660159
52.4, 0, -660159
52.5, 0, -660159
52.6, 0, -660159
52.7, 0, -660159
52.8, 0, -660159
52.9, 0, -654992
53, 0, -648900
53.1, 0, -648900
53.2, 0, -648900
53.3, 0, -648399
53.4, 0, -648399
53.5, 0, -648399
53.6, 0, -642805
53.7, 0, -636801
53.8, 0, -636801
53.9, 0, -636801
54, 0, -636799
54.1, 0, -636799
54.2, 0, -636799
54.3, 0, -631508
54.4, 0, -625733
54.5, 0, -625733
54.6, 0, -625733
54.7, 0, -625733
54.8, 0, -625733
54.9, 0, -625733
55, 0, -615177
55.1, 0, -615177
55.2, 0, -615177
55.3, 0, -615177
55.4, 0, -614872
55.5, 0, -614872
55.6, 0, -614872
55.7, 0, -604560
55.8, 0, -604560
55.9, 0, -604560
56, 0, -604560
56.1, 0, -604560
56.2, 0, -604560
56.3, 0, -600291
56.4, 0, -594990
56.5, 0, -594990
56.6, 0, -594990
56.7, 0, -594418
56.8, 0, -594418
56.9, 0, -594418
57, 0, -594418
57.1, 0, -584650
57.2, 0, -584650
57.3, 0, -584650
57.4, 0, -584650
57.5, 0, -584824
57.6, 0, -584824
57.7, 0, -584824
57.8, 0, -575149
57.9, 0, -575149
58, 0, -575149
58.1, 0, -575149
58.2, 0, -575149
58.3, 0, -575149
58.4, 0, -575149
58.5, 0, -566584
58.6, 0, -566584
58.7, 0, -566584
58.8, 0, -566584
58.9, 0, -566038
59, 0, -566038
59.1, 0, -566038
59.2, 0, -557754
59.3, 0, -557754
59.4, 0, -557754
59.5, 0, -557754
59.6, 0, -557481
59.7, 0, -557481
59.8, 0, -557481
59.9, 0, -553443
60, 0, -548906
60.1, 0, -548906
60.2, 0, -548906
60.3, 0, -548854
60.4, 0, -548854
60.5, 0, -548854
60.6, 0, -544949
60.7, 0, -540658
60.8, 0, -540658
60.9, 0, -540658
61, 0, -540645
61.1, 0, -540645
61.2, 0, -540645
61.3, 0, -540645
61.4, 0, -532694
61.5, 0, -532694
61.6, 0, -532694
61.7, 0, -532694
61.8, 0, -532694
61.9, 0, -532694
62, 0, -532694
62.1, 0, -528567
62.2, 0, -524617
62.3, 0, -524617
62.4, 0, -524617
62.5, 0, -525210
62.6, 0, -525210
62.7, 0, -525210
62.8, 0, -521985
62.9, 0, -517977
63, 0, -517977
63.1, 0, -517977
63.2, 0, -517977
63.3, 0, -517570
63.4, 0, -517570
63.5, 0, -517570
63.6, 0, -514086
