x,y,sigxx,sigyy,sigxy,ux,vy
-1, 0.3, -1.18106e+07, -3.0913e+06, -221.148, -9.80011e-21, 0.0002497
-1, 0.32, -1.18309e+07, -3.08261e+06, -246.902, -3.86564e-25, 0.000253302
-1, 0.34, -1.18512e+07, -3.07393e+06, -272.656, 1.23029e-21, 0.000256935
-1, 0.36, -1.18716e+07, -3.06556e+06, -289.45, -3.24663e-25, 0.000260601
-1, 0.38, -1.18921e+07, -3.05752e+06, -297.285, -4.17641e-21, 0.000264296
-1, 0.4, -1.19125e+07, -3.04947e+06, -305.12, -1.98548e-25, 0.000268022
-1, 0.42, -1.19325e+07, -3.04296e+06, -182.547, -3.8988e-25, 0.000271778
-1, 0.44, -1.19525e+07, -3.03645e+06, -59.9735, -3.26544e-25, 0.000275562
-1, 0.46, -1.1972e+07, -3.0303e+06, -19.9593, -3.27387e-25, 0.000279374
-1, 0.48, -1.19909e+07, -3.02452e+06, -62.5041, -2.11074e-21, 0.000283211
-1, 0.5, -1.20098e+07, -3.01873e+06, -105.049, 2.64733e-21, 0.000287073
-1, 0.52, -1.20272e+07, -3.01405e+06, -9.07675, -3.92968e-25, 0.000290959
-1, 0.54, -1.20446e+07, -3.00937e+06, 86.8955, -3.29091e-25, 0.000294867
-1, 0.56, -1.20615e+07, -3.00554e+06, 131.164, -3.29827e-25, 0.000298796
-1, 0.58, -1.20779e+07, -3.00257e+06, 123.728, -3.94497e-25, 0.000302743
-1, 0.6, -1.20943e+07, -2.99959e+06, 116.292, -2.01579e-25, 0.000306708
-1, 0.62, -1.21094e+07, -2.99783e+06, -62.1964, -3.95654e-25, 0.000310691
-1, 0.64, -1.21246e+07, -2.99606e+06, -240.684, -3.31298e-25, 0.000314688
-1, 0.66, -1.21392e+07, -2.99482e+06, -204.177, -3.31928e-25, 0.0003187
-1, 0.68, -1.21533e+07, -2.99409e+06, 47.3249, -3.96966e-25, 0.000322724
-1, 0.7, -1.21674e+07, -2.99336e+06, 298.827, -2.028e-25, 0.000326761
-1, 0.72, -1.2181e+07, -2.99336e+06, 145.881, -3.97981e-25, 0.000330809
-1, 0.74, -1.21947e+07, -2.99335e+06, -7.0651, -1.03386e-21, 0.000334868
-1, 0.76, -1.22081e+07, -2.99361e+06, -58.4903, -3.94236e-21, 0.000338937
-1, 0.78, -1.22211e+07, -2.99415e+06, -8.39461, 1.97293e-21, 0.000343016
-1, 0.8, -1.22342e+07, -2.99468e+06, 41.7011, -2.03904e-25, 0.000347104
-1, 0.82, -1.22473e+07, -2.99547e+06, 22.7512, -4.00131e-25, 0.0003512
-1, 0.84, -1.22604e+07, -2.99627e+06, 3.80125, -3.35013e-25, 0.000355306
-1, 0.86, -1.22737e+07, -2.997e+06, -0.209124, 6.66116e-21, 0.000359421
-1, 0.88, -1.22871e+07, -2.99768e+06, 10.72, -4.01321e-25, 0.000363544
-1, 0.9, -1.23005e+07, -2.99836e+06, 21.6492, -1.15123e-20, 0.000367677
-1, 0.92, -1.23144e+07, -2.99883e+06, 35.6815, -4.35308e-21, 0.000371819
-1, 0.94, -1.23283e+07, -2.9993e+06, 49.7138, -2.1794e-21, 0.000375971
-1, 0.96, -1.23427e+07, -2.99963e+06, 43.1216, -3.49853e-25, 0.000380134
-1, 0.98, -1.23574e+07, -2.99982e+06, 15.9049, -3.9124e-25, 0.000384307
-0.98, -1, -1.22771e+07, -2.83994e+06, 28.9059, -2.01287e-05, -8.99239e-26
-0.98, -0.98, -1.22765e+07, -2.84014e+06, 19.4061, -2.0128e-05, 4.40741e-06
-0.98, -0.96, -1.22757e+07, -2.84031e+06, 206.757, -2.01266e-05, 8.81409e-06
-0.98, -0.94, -1.22742e+07, -2.84046e+06, 598.474, -2.01233e-05, 1.32194e-05
-0.98, -0.92, -1.22721e+07, -2.84107e+06, 615.126, -2.01189e-05, 1.76223e-05
-0.98, -0.9, -1.22697e+07, -2.84192e+06, 922.921, -2.01135e-05, 2.20219e-05
-0.98, -0.88, -1.22662e+07, -2.84299e+06, 1048.15, -2.01062e-05, 2.64176e-05
-0.98, -0.86, -1.22619e+07, -2.84416e+06, 1280.2, -2.00985e-05, 3.08084e-05
-0.98, -0.84, -1.22573e+07, -2.84539e+06, 1661.78, -2.00885e-05, 3.51935e-05
-0.98, -0.82, -1.22517e+07, -2.84716e+06, 1606.13, -2.00774e-05, 3.95717e-05
-0.98, -0.8, -1.22457e+07, -2.84902e+06, 2039.17, -2.00653e-05, 4.39423e-05
-0.98, -0.78, -1.22389e+07, -2.85128e+06, 2252.18, -2.00507e-05, 4.83041e-05
-0.98, -0.76, -1.22315e+07, -2.85392e+06, 2589.86, -2.00356e-05, 5.26558e-05
-0.98, -0.74, -1.22237e+07, -2.85679e+06, 3164.2, -2.00179e-05, 5.69966e-05
-0.98, -0.72, -1.22145e+07, -2.86015e+06, 3157.87, -1.9999e-05, 6.13249e-05
-0.98, -0.7, -1.22047e+07, -2.86381e+06, 3895.21, -1.99785e-05, 6.56395e-05
-0.98, -0.68, -1.2194e+07, -2.8679e+06, 4205.4, -1.99553e-05, 6.99392e-05
-0.98, -0.66, -1.21824e+07, -2.87252e+06, 4629.75, -1.99315e-05, 7.42223e-05
-0.98, -0.64, -1.21703e+07, -2.87744e+06, 5397.96, -1.99047e-05, 7.84876e-05
-0.98, -0.62, -1.21571e+07, -2.883e+06, 5531.48, -1.98765e-05, 8.27333e-05
-0.98, -0.6, -1.21431e+07, -2.889e+06, 6440.21, -1.98465e-05, 8.69579e-05
-0.98, -0.58, -1.21282e+07, -2.89571e+06, 6818.41, -1.98136e-05, 9.11599e-05
-0.98, -0.56, -1.21121e+07, -2.90283e+06, 7226.56, -1.978e-05, 9.53374e-05
-0.98, -0.54, -1.20956e+07, -2.90985e+06, 8052.88, -1.97434e-05, 9.94892e-05
-0.98, -0.52, -1.2078e+07, -2.91785e+06, 8119.67, -1.97052e-05, 0.000103613
-0.98, -0.5, -1.20597e+07, -2.92656e+06, 9033.53, -1.96655e-05, 0.000107708
-0.98, -0.48, -1.20407e+07, -2.93605e+06, 9440.31, -1.96232e-05, 0.000111771
-0.98, -0.46, -1.20209e+07, -2.94611e+06, 9848.07, -1.95802e-05, 0.000115802
-0.98, -0.44, -1.20008e+07, -2.95622e+06, 10664.6, -1.95347e-05, 0.0001198
