	incl_deg	radius	frac_elem_size	tcid	run_id	tcdir	ANmax_num	ANmax_ana	ANerr
0	0	7.5081740169814	2.0348458130127187	0052	R-0052	batch/R-0052	3.2623e-06	3.2622661907934616e-06	1.0363717906880204e-05
0	0	7.960010899868125	0.7447901835653457	0178	R-0178	batch/R-0178	3.46756e-06	3.458587184880848e-06	0.0025943585167888
0	0	6.027066462532457	2.9564918417257897	0031	R-0031	batch/R-0031	2.59723e-06	2.6187319454657086e-06	-0.0082108233730982
0	0	6.137712033507341	3.4813561855095956	0047	R-0047	batch/R-0047	2.64745e-06	2.6668069240871446e-06	-0.0072584647626001
0	0	9.471967480110097	1.198682737653264	0149	R-0149	batch/R-0149	4.16781e-06	4.115525186386322e-06	0.0127042871190851
0	0	5.046816022646682	2.688254658806367	0050	R-0050	batch/R-0050	2.1654e-06	2.192817753637287e-06	-0.0125034347208328
0	0	7.598382880047855	0.8101859814301008	0020	R-0020	batch/R-0020	3.30248e-06	3.30146151623824e-06	0.0003084948156295
0	0	6.752322191625	1.9732369194707313	0030	R-0030	batch/R-0030	2.92128e-06	2.933852138384344e-06	-0.0042851983642459
0	0	9.775078622294938	3.1334252213624487	0197	R-0197	batch/R-0197	4.31213e-06	4.247225547747944e-06	0.015281611848109
0	0	6.503918283697873	6.067994672645198	0196	R-0196	batch/R-0196	2.80966e-06	2.825921812227967e-06	-0.0057545159804495
0	0	6.581724697502654	0.9184375790303212	0093	R-0093	batch/R-0093	2.8436e-06	2.859728331976729e-06	-0.0056398126340834
0	0	6.265766128000244	9.883429545074117	0143	R-0143	batch/R-0143	2.70404e-06	2.722445824052974e-06	-0.0067607677957656
0	0	7.341438449955623	5.2083029186974965	0152	R-0152	batch/R-0152	3.1857800000000004e-06	3.189820373490781e-06	-0.001266646085892
0	0	9.783982529049357	6.624283375046907	0123	R-0123	batch/R-0123	4.31575e-06	4.251094253228827e-06	0.0152092009538639
0	0	8.724305446011929	0.855640077809942	0015	R-0015	batch/R-0015	3.81871e-06	3.7906695596438113e-06	0.0073972262459151
0	0	8.653851241815975	2.6960001389571393	0114	R-0114	batch/R-0114	3.78536e-06	3.760057540286257e-06	0.0067292746035521
0	0	6.692914711044715	0.7555919741680426	0122	R-0122	batch/R-0122	2.89458e-06	2.908039868325212e-06	-0.0046285019926373
0	0	7.81414410967642	2.058342006536429	0147	R-0147	batch/R-0147	3.40182e-06	3.395208752664744e-06	0.0019472285261008
0	0	7.508121729821385	7.8607883208772495	0120	R-0120	batch/R-0120	3.26205e-06	3.262243472269098e-06	-5.930650815698056e-05
0	0	7.042541126338238	0.8842392411465758	0194	R-0194	batch/R-0194	3.05082e-06	3.059950896418156e-06	-0.0029840009618597
0	0	7.870435558783365	5.093455543741515	0131	R-0131	batch/R-0131	3.42693e-06	3.419667121748495e-06	0.0021238553323842
0	0	6.420663355057778	0.721936593329227	0167	R-0167	batch/R-0167	2.77307e-06	2.7897479384864656e-06	-0.0059782958368324
0	0	9.313354847085924	3.8051862667108898	0115	R-0115	batch/R-0115	4.09309e-06	4.046608745587641e-06	0.0114864711007806
0	0	5.585256490993874	1.9039183779039126	0164	R-0164	batch/R-0164	2.40138e-06	2.426767597057438e-06	-0.0104614867481425
0	0	8.341860473955004	0.8076901025194005	0056	R-0056	batch/R-0056	3.64238e-06	3.6244990234577224e-06	0.0049333649772153
0	0	8.67800788148218	5.282853719864256	0055	R-0055	batch/R-0055	3.7971e-06	3.770553486263003e-06	0.0070404819434897
0	0	6.233581388428027	1.8326812735566014	0162	R-0162	batch/R-0162	2.68981e-06	2.7084617065393857e-06	-0.006886457539478
0	0	9.987748885215677	0.9587570276228787	0000	R-0000	batch/R-0000	4.4141e-06	4.33962977372144e-06	0.017160502199868
0	0	6.645745041833067	4.992902836944966	0118	R-0118	batch/R-0118	2.87242e-06	2.887544869574245e-06	-0.0052379686749164
0	0	8.51656489007512	1.837216216254868	0110	R-0110	batch/R-0110	3.7226e-06	3.7004072680990887e-06	0.0059973755030244
0	0	9.013756101745438	2.5531440956116978	0105	R-0105	batch/R-0105	3.95342e-06	3.916434504085264e-06	0.0094436651184019
0	0	6.747365013805851	1.9062725340594435	0134	R-0134	batch/R-0134	2.91847e-06	2.9316982680072607e-06	-0.004512151933102
0	0	8.506452125808364	3.4946108352602043	0064	R-0064	batch/R-0064	3.71721e-06	3.696013319731844e-06	0.0057350118721147
0	0	8.402211178722835	2.4655651066989366	0026	R-0026	batch/R-0026	3.67032e-06	3.650721119976712e-06	0.0053684955325792
0	0	8.505227359910263	1.1164807745696135	0144	R-0144	batch/R-0144	3.71754e-06	3.695481164726915e-06	0.0059691375195291
0	0	9.8381181971023	8.87174840275454	0177	R-0177	batch/R-0177	4.33954e-06	4.274615945614446e-06	0.0151882777801742
0	0	7.815464699046171	5.303112791816136	0025	R-0025	batch/R-0025	3.40178e-06	3.3957825425160605e-06	0.0017661488652024
0	0	5.398781758889795	7.374000241303283	0002	R-0002	batch/R-0002	2.32109e-06	2.345745205647152e-06	-0.0105106068586635
0	0	6.87338164709155	1.4211649852238322	0065	R-0065	batch/R-0065	2.97399e-06	2.9864519006902227e-06	-0.004172811451389
0	0	8.941008494554415	1.3974512038358304	0107	R-0107	batch/R-0107	3.9194e-06	3.8848260119454125e-06	0.0088997519961708
0	0	5.702723387320677	4.134321862790058	0044	R-0044	batch/R-0044	2.45491e-06	2.4778064093648854e-06	-0.009240596552801
0	0	7.792390214955394	8.158310434324065	0133	R-0133	batch/R-0133	3.39042e-06	3.3857567880318025e-06	0.0013773027007377
0	0	7.096937482182747	7.329894873636676	0001	R-0001	batch/R-0001	3.07552e-06	3.083585856419423e-06	-0.002615739205909
0	0	9.832168624784744	5.902182894643893	0038	R-0038	batch/R-0038	4.33913e-06	4.272030884509397e-06	0.0157066082396332
0	0	9.382143204311365	9.248353326606845	0086	R-0086	batch/R-0086	4.1232e-06	4.076496962295091e-06	0.0114566595135189
0	0	7.433216532485992	2.0432996253613895	0126	R-0126	batch/R-0126	3.2281e-06	3.229697517389884e-06	-0.0004946337486041
0	0	7.014841146430017	6.872817380438175	0109	R-0109	batch/R-0109	3.03876e-06	3.047915385821855e-06	-0.0030038188935439
0	0	8.117915892405158	4.2847000369012065	0040	R-0040	batch/R-0040	3.53939e-06	3.527196159226138e-06	0.0034570917588369
0	0	9.288017600262918	4.040991934834957	0140	R-0140	batch/R-0140	4.08074e-06	4.0355998313707445e-06	0.0111854917522689
0	0	6.7572892330253875	1.7511320413174762	0007	R-0007	batch/R-0007	2.92367e-06	2.936010294440944e-06	-0.00420308282444
0	0	6.899606951320282	4.012935581677696	0017	R-0017	batch/R-0017	2.9874100000000003e-06	2.997846671660522e-06	-0.0034813894116675
0	0	5.2381210213698175	0.8370224858249594	0124	R-0124	batch/R-0124	2.25049e-06	2.2759388731069154e-06	-0.0111817032555776
0	0	5.489270445058059	0.8512666053513827	0198	R-0198	batch/R-0198	2.36041e-06	2.3850621129096097e-06	-0.010336046502175
0	0	9.5494813261422	1.0679809597844665	0163	R-0163	batch/R-0163	4.20447e-06	4.149204586818034e-06	0.0133195199286009
0	0	9.656469738427393	4.428985368132929	0032	R-0032	batch/R-0032	4.25485e-06	4.195690547241336e-06	0.0141000514915386
0	0	6.161542219020208	0.7493390376359479	0013	R-0013	batch/R-0013	2.65859e-06	2.6771610272743025e-06	-0.0069368361055256
0	0	7.6112188681469295	2.4669526429786846	0181	R-0181	batch/R-0181	3.30743e-06	3.3070386925139004e-06	0.0001183256449297
0	0	6.186148036738658	1.860357266653039	0059	R-0059	batch/R-0059	2.66877e-06	2.687852138995764e-06	-0.0070994005655731
0	0	5.966883504942826	9.547269072976496	0132	R-0132	batch/R-0132	2.57033e-06	2.592582734304305e-06	-0.0085832301549581
0	0	9.336175213101452	2.2046228419511604	0088	R-0088	batch/R-0088	4.10375e-06	4.056524086966998e-06	0.011641965392177
0	0	5.5430875438272365	0.7544201171486022	0150	R-0150	batch/R-0150	2.38444e-06	2.408445388444273e-06	-0.0099671715868879
0	0	7.496107510442378	1.5183330631648622	0173	R-0173	batch/R-0173	3.25652e-06	3.2570233506256386e-06	-0.000154543143064
0	0	5.244671376714345	1.503940206172709	0189	R-0189	batch/R-0189	2.25249e-06	2.278784971603009e-06	-0.0115390315149005
0	0	7.994276274440351	5.5381292201778995	0066	R-0066	batch/R-0066	3.48263e-06	3.473475328486606e-06	0.0026355942241231
0	0	6.5024696804328315	0.7658319600159552	0053	R-0053	batch/R-0053	2.80964e-06	2.8252924009430486e-06	-0.0055400994735357
0	0	8.524828598706083	2.6410635742851887	0161	R-0161	batch/R-0161	3.72716e-06	3.703997810515445e-06	0.0062532945939651
0	0	9.487400316927825	1.3183979845994385	0130	R-0130	batch/R-0130	4.17507e-06	4.122230681179681e-06	0.0128181372919182
0	0	5.264634660999008	1.2242106842690899	0190	R-0190	batch/R-0190	2.2627600000000003e-06	2.2874589244485016e-06	-0.0107975379074647
0	0	8.15451600827494	5.441410034241627	0183	R-0183	batch/R-0183	3.55632e-06	3.5430987369116138e-06	0.0037315536681629
0	0	5.638279194804135	3.5894486215457384	0089	R-0089	batch/R-0089	2.42669e-06	2.4498057117299877e-06	-0.0094357326457792
0	0	8.936157746696747	3.5439666582188245	0074	R-0074	batch/R-0074	3.916840000000001e-06	3.882718384884512e-06	0.0087880736466297
0	0	8.733232697035444	1.7995126952268476	0100	R-0100	batch/R-0100	3.8231e-06	3.7945484080994905e-06	0.0075243715008525
0	0	7.566089396811586	1.5256680096264619	0035	R-0035	batch/R-0035	3.28774e-06	3.287430150115617e-06	9.42529180042568e-05
0	0	8.689141398154618	8.922595041179532	0193	R-0193	batch/R-0193	3.80189e-06	3.7753909467351474e-06	0.0070188898682846
0	0	8.53700330875862	1.9889947207818484	0027	R-0027	batch/R-0027	3.73211e-06	3.709287664599444e-06	0.0061527542386013
0	0	8.267988079596769	1.884875444385911	0090	R-0090	batch/R-0090	3.608e-06	3.592401816599867e-06	0.0043419929608254
0	0	9.561377766848292	1.2190925838061653	0112	R-0112	batch/R-0112	4.209690000000001e-06	4.15437353418373e-06	0.013315236427612
0	0	9.91954046036843	3.269139611969628	0141	R-0141	batch/R-0141	4.379379999999999e-06	4.309993534896502e-06	0.0160989719686815
0	0	5.888674018082119	2.2598625416679257	0195	R-0195	batch/R-0195	2.5372400000000003e-06	2.558601081214228e-06	-0.0083487345374254
0	0	6.453313293900811	4.66541498486898	0139	R-0139	batch/R-0139	2.78759e-06	2.80393418288866e-06	-0.0058290180234621
0	0	9.421150182724922	2.816352559071542	0121	R-0121	batch/R-0121	4.14343e-06	4.093445310401533e-06	0.0122109093460843
0	0	6.715761289304508	0.8198255503490544	0136	R-0136	batch/R-0136	2.90429e-06	2.9179665988010463e-06	-0.0046870306214833
0	0	5.308676681520806	4.531909271625167	0006	R-0006	batch/R-0006	2.2806e-06	2.306594974598317e-06	-0.0112698479293461
0	0	8.014013781916576	0.9934896713558115	0075	R-0075	batch/R-0075	3.49264e-06	3.482051182373929e-06	0.003040971275687
0	0	5.98738883260048	2.3187388294274274	0101	R-0101	batch/R-0101	2.57933e-06	2.601492202438289e-06	-0.0085190347361093
0	0	6.996054495990317	6.336290173153276	0145	R-0145	batch/R-0145	3.03027e-06	3.039752674831264e-06	-0.0031195547288366
0	0	9.022960169276804	7.637767909663247	0179	R-0179	batch/R-0179	3.9566e-06	3.92043362800773e-06	0.00922509482979
0	0	5.016472774218782	1.4123090090588548	0182	R-0182	batch/R-0182	2.15273e-06	2.179633755338726e-06	-0.0123432458654251
0	0	6.938832178884532	1.6558528547401825	0099	R-0099	batch/R-0099	3.00414e-06	3.0148898479933586e-06	-0.0035655856549828
0	0	7.669811770199826	1.3859534378029952	0188	R-0188	batch/R-0188	3.3351700000000003e-06	3.332497032045632e-06	0.0008020916233877
0	0	8.143519380132863	4.023697754522586	0102	R-0102	batch/R-0102	3.55144e-06	3.538320753860144e-06	0.003707760560018
0	0	5.1370185955507965	4.699440023028691	0057	R-0057	batch/R-0057	2.20572e-06	2.232010346036202e-06	-0.0117787742708677
0	0	8.8005976304627	3.0047502664827968	0084	R-0084	batch/R-0084	3.85294e-06	3.823818153881588e-06	0.0076159076991802
0	0	5.890834415342293	9.34389241839056	0106	R-0106	batch/R-0106	2.53749e-06	2.559539763632165e-06	-0.0086147376748991
0	0	5.976365550247292	0.9662326064949336	0117	R-0117	batch/R-0117	2.57475e-06	2.596702638257832e-06	-0.0084540439611368
