h_m	SigHmax_psi
10008.740462771264	-50.065199019758154
9967.138229643266	-25.109962756974596
9873.53320510527	0.23224263437631976
10060.743254181261	25.80394391270093
10227.152186693254	50.19398551767162
10123.146603873258	37.60345052699759
10237.552744975252	61.00470666149647
10289.55553638525	75.1614290084857
10268.75441982125	99.92257034558406
10237.552744975252	86.94750767194876
10351.958886077247	114.86910034614772
10164.748837001256	125.06701864284065
10435.163352333244	149.86234021842444
10258.353861539252	138.4424783958769
11090.398524099213	154.85265503729931
11392.014714277198	159.99800165216175
9967.138229643266	13.214629644829927
9904.734879951267	-11.359741103401547
9863.132646823271	-37.70049774764864
9967.138229643266	-31.202590267005064
9883.933763387271	-44.1837565546556
10060.743254181261	-55.16904105931684
9904.734879951267	-17.648904984723316
9925.535996515267	-5.068135776473639
